province_prefecture,indicateur,valeur,fk_territoire,theme,fichier_source,territoire_id
Ouezzane,Césarienne,585,ouezzane,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,9
Tanger-Assilah,Césarienne,1737,tanger assilah,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,2
Tétouan,Césarienne,979,tetouan,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Césarienne,101,m'diq fnideq,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,Total,38351,tanger tetouan al hoceima,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,1
Al Hoceima,Total,5096,al hoceima,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,7
Chefchaouen,Total,4493,chefchaouen,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,8
Fahs-Anjra,Total,434,fahs anjra,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,5
Larache,Total,4526,larache,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,6
Ouezzane,Total,3607,ouezzane,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,9
Tanger-Assilah,Total,12601,tanger assilah,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,2
Tétouan,Total,5902,tetouan,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Total,1692,m'diq fnideq,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,3
