territoire_brut,fk_territoire,theme,indicateur,valeur,fichier_source,territoire_id
Tanger-Assilah,tanger assilah,sante,Cliniques Privées à but lucratif - Nombre de lits,1096,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,2
Tanger-Assilah,tanger assilah,sante,Cliniques Privées à but lucratif - Nombre de cliniques,25,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,2
Tanger-Assilah,tanger assilah,sante,Cliniques Privées à but non lucratif - Nombre de lits,141,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,2
Tanger-Assilah,tanger assilah,sante,Cliniques Privées à but non lucratif - Nombre de cliniques,4,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,2
Tanger-Assilah,tanger assilah,sante,Total - Nombre de lits,1237,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,2
Tanger-Assilah,tanger assilah,sante,Total - Nombre de cliniques,29,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,2
Tétouan,tetouan,sante,Cliniques Privées à but lucratif - Nombre de lits,306,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,4
Tétouan,tetouan,sante,Cliniques Privées à but lucratif - Nombre de cliniques,6,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,4
Tétouan,tetouan,sante,Cliniques Privées à but non lucratif - Nombre de lits,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,4
Tétouan,tetouan,sante,Cliniques Privées à but non lucratif - Nombre de cliniques,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,4
Tétouan,tetouan,sante,Total - Nombre de lits,306,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,4
Tétouan,tetouan,sante,Total - Nombre de cliniques,6,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,4
M'Diq-Fnideq,m'diq fnideq,sante,Cliniques Privées à but lucratif - Nombre de lits,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,3
M'Diq-Fnideq,m'diq fnideq,sante,Cliniques Privées à but lucratif - Nombre de cliniques,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,3
M'Diq-Fnideq,m'diq fnideq,sante,Cliniques Privées à but non lucratif - Nombre de lits,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,3
M'Diq-Fnideq,m'diq fnideq,sante,Cliniques Privées à but non lucratif - Nombre de cliniques,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,3
M'Diq-Fnideq,m'diq fnideq,sante,Total - Nombre de lits,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,3
M'Diq-Fnideq,m'diq fnideq,sante,Total - Nombre de cliniques,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,3
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Cliniques Privées à but lucratif - Nombre de lits,1536,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,1
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Cliniques Privées à but lucratif - Nombre de cliniques,39,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,1
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Cliniques Privées à but non lucratif - Nombre de lits,141,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,1
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Cliniques Privées à but non lucratif - Nombre de cliniques,4,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,1
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Total - Nombre de lits,1677,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,1
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Total - Nombre de cliniques,43,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,1
