province_prefecture,indicateur,valeur,fk_territoire,theme,fichier_source,territoire_id
Tanger - Tétouan - Al Hoceima,Officines de pharmacie par province (ou préfecture) : Priv,778,tanger tetouan al hoceima,sante,cleaned_sante_12__Officines_de_pharmacie_par_province__ou_préfecture___Privé.csv,1
Al Hoceima,Officines de pharmacie par province (ou préfecture) : Priv,72,al hoceima,sante,cleaned_sante_12__Officines_de_pharmacie_par_province__ou_préfecture___Privé.csv,7
Chefchaouen,Officines de pharmacie par province (ou préfecture) : Priv,46,chefchaouen,sante,cleaned_sante_12__Officines_de_pharmacie_par_province__ou_préfecture___Privé.csv,8
Fahs-Anjra,Officines de pharmacie par province (ou préfecture) : Priv,20,fahs anjra,sante,cleaned_sante_12__Officines_de_pharmacie_par_province__ou_préfecture___Privé.csv,5
Larache,Officines de pharmacie par province (ou préfecture) : Priv,106,larache,sante,cleaned_sante_12__Officines_de_pharmacie_par_province__ou_préfecture___Privé.csv,6
Mdiq-Fnideq,Officines de pharmacie par province (ou préfecture) : Priv,93,m'diq fnideq,sante,cleaned_sante_12__Officines_de_pharmacie_par_province__ou_préfecture___Privé.csv,3
Ouezzane,Officines de pharmacie par province (ou préfecture) : Priv,41,ouezzane,sante,cleaned_sante_12__Officines_de_pharmacie_par_province__ou_préfecture___Privé.csv,9
Tanger Assilah,Officines de pharmacie par province (ou préfecture) : Priv,260,tanger assilah,sante,cleaned_sante_12__Officines_de_pharmacie_par_province__ou_préfecture___Privé.csv,2
Tetouan,Officines de pharmacie par province (ou préfecture) : Priv,140,tetouan,sante,cleaned_sante_12__Officines_de_pharmacie_par_province__ou_préfecture___Privé.csv,4
