province_prefecture,indicateur,valeur,fk_territoire,theme,fichier_source,territoire_id
Tanger - Tétouan - Al Hoceima,Chirurgiens dentistes par province (ou préfecture) : Public,37,tanger tetouan al hoceima,sante,cleaned_sante_9__Médecins_privés_par_province__ou_préfecture___Privé.csv,1
Al Hoceima,Chirurgiens dentistes par province (ou préfecture) : Public,4,al hoceima,sante,cleaned_sante_9__Médecins_privés_par_province__ou_préfecture___Privé.csv,7
Chefchaouen,Chirurgiens dentistes par province (ou préfecture) : Public,2,chefchaouen,sante,cleaned_sante_9__Médecins_privés_par_province__ou_préfecture___Privé.csv,8
Fahs-Anjra,Chirurgiens dentistes par province (ou préfecture) : Public,3,fahs anjra,sante,cleaned_sante_9__Médecins_privés_par_province__ou_préfecture___Privé.csv,5
Larache,Chirurgiens dentistes par province (ou préfecture) : Public,3,larache,sante,cleaned_sante_9__Médecins_privés_par_province__ou_préfecture___Privé.csv,6
Mdiq-Fnideq,Chirurgiens dentistes par province (ou préfecture) : Public,4,m'diq fnideq,sante,cleaned_sante_9__Médecins_privés_par_province__ou_préfecture___Privé.csv,3
Ouezzane,Chirurgiens dentistes par province (ou préfecture) : Public,3,ouezzane,sante,cleaned_sante_9__Médecins_privés_par_province__ou_préfecture___Privé.csv,9
Tanger Assilah,Chirurgiens dentistes par province (ou préfecture) : Public,11,tanger assilah,sante,cleaned_sante_9__Médecins_privés_par_province__ou_préfecture___Privé.csv,2
Tetouan,Chirurgiens dentistes par province (ou préfecture) : Public,7,tetouan,sante,cleaned_sante_9__Médecins_privés_par_province__ou_préfecture___Privé.csv,4
