territoire_brut,fk_territoire,theme,indicateur,valeur,fichier_source,territoire_id
Chefchaouen,chefchaouen,sante,Population totale - Urbain,57310,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,8
Chefchaouen,chefchaouen,sante,Population totale - Rural,435988,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,8
Chefchaouen,chefchaouen,sante,Population totale - Ensemble,493298,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,8
Chefchaouen,chefchaouen,sante,Naissances attendues - Urbain,624,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,8
Chefchaouen,chefchaouen,sante,Naissances attendues - Rural,8052,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,8
Chefchaouen,chefchaouen,sante,Naissances attendues - Ensemble,8676,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,8
Chefchaouen,chefchaouen,sante,Enfants de moins d'un an - Urbain,613,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,8
Chefchaouen,chefchaouen,sante,Enfants de moins d'un an - Rural,7907,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,8
Chefchaouen,chefchaouen,sante,Enfants de moins d'un an - Ensemble,8520,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,8
Chefchaouen,chefchaouen,sante,Enfants de 12 à 23 mois - Urbain,608,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,8
Chefchaouen,chefchaouen,sante,Enfants de 12 à 23 mois - Rural,7853,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,8
Chefchaouen,chefchaouen,sante,Enfants de 12 à 23 mois - Ensemble,8461,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,8
Chefchaouen,chefchaouen,sante,Enfants de moins de 5 ans - Urbain,3780,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,8
Chefchaouen,chefchaouen,sante,Enfants de moins de 5 ans - Rural,40991,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,8
Chefchaouen,chefchaouen,sante,Enfants de moins de 5 ans - Ensemble,44771,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,8
Fahs-Anjra,fahs anjra,sante,Population totale - Urbain,0,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,5
Fahs-Anjra,fahs anjra,sante,Population totale - Rural,93416,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,5
Fahs-Anjra,fahs anjra,sante,Population totale - Ensemble,93416,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,5
Fahs-Anjra,fahs anjra,sante,Naissances attendues - Urbain,0,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,5
Fahs-Anjra,fahs anjra,sante,Naissances attendues - Rural,1760,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,5
Fahs-Anjra,fahs anjra,sante,Naissances attendues - Ensemble,1760,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,5
Fahs-Anjra,fahs anjra,sante,Enfants de moins d'un an - Urbain,0,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,5
Fahs-Anjra,fahs anjra,sante,Enfants de moins d'un an - Rural,1729,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,5
Fahs-Anjra,fahs anjra,sante,Enfants de moins d'un an - Ensemble,1729,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,5
Fahs-Anjra,fahs anjra,sante,Enfants de 12 à 23 mois - Urbain,0,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,5
Fahs-Anjra,fahs anjra,sante,Enfants de 12 à 23 mois - Rural,1717,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,5
Fahs-Anjra,fahs anjra,sante,Enfants de 12 à 23 mois - Ensemble,1717,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,5
Fahs-Anjra,fahs anjra,sante,Enfants de moins de 5 ans - Urbain,0,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,5
Fahs-Anjra,fahs anjra,sante,Enfants de moins de 5 ans - Rural,7617,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,5
Fahs-Anjra,fahs anjra,sante,Enfants de moins de 5 ans - Ensemble,7617,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,5
Larache,larache,sante,Population totale - Urbain,280509,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,6
Larache,larache,sante,Population totale - Rural,243579,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,6
Larache,larache,sante,Population totale - Ensemble,524088,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,6
Larache,larache,sante,Naissances attendues - Urbain,4796,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,6
Larache,larache,sante,Naissances attendues - Rural,5573,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,6
Larache,larache,sante,Naissances attendues - Ensemble,10369,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,6
Larache,larache,sante,Enfants de moins d'un an - Urbain,4716,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,6
Larache,larache,sante,Enfants de moins d'un an - Rural,5474,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,6
Larache,larache,sante,Enfants de moins d'un an - Ensemble,10190,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,6
Larache,larache,sante,Enfants de 12 à 23 mois - Urbain,4677,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,6
Larache,larache,sante,Enfants de 12 à 23 mois - Rural,5436,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,6
Larache,larache,sante,Enfants de 12 à 23 mois - Ensemble,10113,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,6
Larache,larache,sante,Enfants de moins de 5 ans - Urbain,25747,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,6
Larache,larache,sante,Enfants de moins de 5 ans - Rural,23348,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,6
Larache,larache,sante,Enfants de moins de 5 ans - Ensemble,49095,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,6
Ouezzane,ouezzane,sante,Population totale - Urbain,73962,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,9
Ouezzane,ouezzane,sante,Population totale - Rural,231644,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,9
Ouezzane,ouezzane,sante,Population totale - Ensemble,305606,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,9
Ouezzane,ouezzane,sante,Naissances attendues - Urbain,1257,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,9
Ouezzane,ouezzane,sante,Naissances attendues - Rural,3722,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,9
Ouezzane,ouezzane,sante,Naissances attendues - Ensemble,4979,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,9
Ouezzane,ouezzane,sante,Enfants de moins d'un an - Urbain,1236,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,9
Ouezzane,ouezzane,sante,Enfants de moins d'un an - Rural,3656,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,9
Ouezzane,ouezzane,sante,Enfants de moins d'un an - Ensemble,4892,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,9
Ouezzane,ouezzane,sante,Enfants de 12 à 23 mois - Urbain,1226,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,9
Ouezzane,ouezzane,sante,Enfants de 12 à 23 mois - Rural,3631,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,9
Ouezzane,ouezzane,sante,Enfants de 12 à 23 mois - Ensemble,4857,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,9
Ouezzane,ouezzane,sante,Enfants de moins de 5 ans - Urbain,6208,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,9
Ouezzane,ouezzane,sante,Enfants de moins de 5 ans - Rural,19738,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,9
Ouezzane,ouezzane,sante,Enfants de moins de 5 ans - Ensemble,25946,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,9
Tanger-Assilah,tanger assilah,sante,Population totale - Urbain,1255779,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,2
Tanger-Assilah,tanger assilah,sante,Population totale - Rural,74105,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,2
Tanger-Assilah,tanger assilah,sante,Population totale - Ensemble,1329884,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,2
Tanger-Assilah,tanger assilah,sante,Naissances attendues - Urbain,23788,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,2
Tanger-Assilah,tanger assilah,sante,Naissances attendues - Rural,1208,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,2
Tanger-Assilah,tanger assilah,sante,Naissances attendues - Ensemble,24996,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,2
Tanger-Assilah,tanger assilah,sante,Enfants de moins d'un an - Urbain,23393,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,2
Tanger-Assilah,tanger assilah,sante,Enfants de moins d'un an - Rural,1187,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,2
Tanger-Assilah,tanger assilah,sante,Enfants de moins d'un an - Ensemble,24580,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,2
Tanger-Assilah,tanger assilah,sante,Enfants de 12 à 23 mois - Urbain,23197,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,2
Tanger-Assilah,tanger assilah,sante,Enfants de 12 à 23 mois - Rural,1178,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,2
Tanger-Assilah,tanger assilah,sante,Enfants de 12 à 23 mois - Ensemble,24375,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,2
Tanger-Assilah,tanger assilah,sante,Enfants de moins de 5 ans - Urbain,106852,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,2
Tanger-Assilah,tanger assilah,sante,Enfants de moins de 5 ans - Rural,6354,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,2
Tanger-Assilah,tanger assilah,sante,Enfants de moins de 5 ans - Ensemble,113206,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,2
Tétouan,tetouan,sante,Population totale - Urbain,436303,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,4
Tétouan,tetouan,sante,Population totale - Rural,170835,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,4
Tétouan,tetouan,sante,Population totale - Ensemble,607138,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,4
Tétouan,tetouan,sante,Naissances attendues - Urbain,7340,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,4
Tétouan,tetouan,sante,Naissances attendues - Rural,2986,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,4
Tétouan,tetouan,sante,Naissances attendues - Ensemble,10326,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,4
Tétouan,tetouan,sante,Enfants de moins d'un an - Urbain,7217,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,4
Tétouan,tetouan,sante,Enfants de moins d'un an - Rural,2933,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,4
Tétouan,tetouan,sante,Enfants de moins d'un an - Ensemble,10150,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,4
Tétouan,tetouan,sante,Enfants de 12 à 23 mois - Urbain,7157,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,4
Tétouan,tetouan,sante,Enfants de 12 à 23 mois - Rural,2913,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,4
Tétouan,tetouan,sante,Enfants de 12 à 23 mois - Ensemble,10070,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,4
Tétouan,tetouan,sante,Enfants de moins de 5 ans - Urbain,35966,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,4
Tétouan,tetouan,sante,Enfants de moins de 5 ans - Rural,15192,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,4
Tétouan,tetouan,sante,Enfants de moins de 5 ans - Ensemble,51158,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,4
M'Diq-Fnideq,m'diq fnideq,sante,Population totale - Urbain,242665,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,3
M'Diq-Fnideq,m'diq fnideq,sante,Population totale - Rural,13307,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,3
M'Diq-Fnideq,m'diq fnideq,sante,Population totale - Ensemble,255972,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,3
M'Diq-Fnideq,m'diq fnideq,sante,Naissances attendues - Urbain,4115,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,3
M'Diq-Fnideq,m'diq fnideq,sante,Naissances attendues - Rural,312,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,3
M'Diq-Fnideq,m'diq fnideq,sante,Naissances attendues - Ensemble,4427,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,3
M'Diq-Fnideq,m'diq fnideq,sante,Enfants de moins d'un an - Urbain,4046,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,3
M'Diq-Fnideq,m'diq fnideq,sante,Enfants de moins d'un an - Rural,306,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,3
M'Diq-Fnideq,m'diq fnideq,sante,Enfants de moins d'un an - Ensemble,4352,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,3
M'Diq-Fnideq,m'diq fnideq,sante,Enfants de 12 à 23 mois - Urbain,4013,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,3
M'Diq-Fnideq,m'diq fnideq,sante,Enfants de 12 à 23 mois - Rural,304,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,3
M'Diq-Fnideq,m'diq fnideq,sante,Enfants de 12 à 23 mois - Ensemble,4317,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,3
M'Diq-Fnideq,m'diq fnideq,sante,Enfants de moins de 5 ans - Urbain,21429,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,3
M'Diq-Fnideq,m'diq fnideq,sante,Enfants de moins de 5 ans - Rural,1336,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,3
M'Diq-Fnideq,m'diq fnideq,sante,Enfants de moins de 5 ans - Ensemble,22765,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,3
