territoire_brut,fk_territoire,theme,indicateur,valeur,fichier_source,territoire_id
Al Hoceima,al hoceima,sante,Femmes de 40 à 69 ans - Ensemble,59198,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,7.0
Chefchaouen,chefchaouen,sante,Femmes de 15 à 49 ans - Urbain,17108,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,8.0
Chefchaouen,chefchaouen,sante,Femmes de 15 à 49 ans - Rural,88628,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,8.0
Chefchaouen,chefchaouen,sante,Femmes de 15 à 49 ans - Ensemble,105736,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,8.0
Chefchaouen,chefchaouen,sante,Femmes mariées de 15 à 49 ans - Urbain,9978,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,8.0
Chefchaouen,chefchaouen,sante,Femmes mariées de 15 à 49 ans - Rural,46785,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,8.0
Chefchaouen,chefchaouen,sante,Femmes mariées de 15 à 49 ans - Ensemble,56763,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,8.0
Chefchaouen,chefchaouen,sante,Femmes de 30 à 49 ans - Urbain,9098,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,8.0
Chefchaouen,chefchaouen,sante,Femmes de 30 à 49 ans - Rural,37391,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,8.0
Chefchaouen,chefchaouen,sante,Femmes de 30 à 49 ans - Ensemble,46489,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,8.0
