Province,Circ. sanitaire,Commune,Nom,Catégorie,Milieu,territoire_id
Tanger Assilah,Bni Makada,Bni Makada (Arrond.),Dhar Kanfoud,CSU-1,Urbain,34
Tanger Assilah,Bni Makada,Bni Makada (Arrond.),Bni Touzine,CSU-1,Urbain,34
Tanger Assilah,Bni Makada,Bni Makada (Arrond.),El mers Aouma,CSU-1,Urbain,34
Tanger Assilah,Bni Makada,Bni Makada (Arrond.),Al Amal (2),CSU-1,Urbain,34
Tanger Assilah,Bni Makada,Bni Makada (Arrond.),Bir Chifa,CSU-1,Urbain,34
Tanger Assilah,Bni Makada,Bni Makada (Arrond.),Jirari,CSU-2,Urbain,34
Tanger Assilah,Bni Makada,Bni Makada (Arrond.),Bni Ouriaghel,CSU-1,Urbain,34
Tanger Assilah,Dar Chaoui,Dar Chaoui,Dar Chaoui,CSR-2,Rural,38
Tanger Assilah,Dar Chaoui,Al Manzla,El Menzla ( Barr. El Hachef),CSR-1,Rural,39
Tanger Assilah,Gharbia,Had Al Gharbia,Had Gharbia,CSR-2,Rural,43
Tanger Assilah,Gharbia,Aquouass Briech,Briech,CSR-1,Rural,42
Tanger Assilah,Gueznaia,Gueznaia (Mun.),Gzenaya,CSU-2,Urbain,36
Tanger Assilah,Laaouama,Laaouama,Gouaret,CSR-1,Rural,40
Tanger Assilah,Laaouama,Sebt Azzinate,Zinate,CSR-1,Rural,41
Tanger Assilah,Mghogha,Mghogha (Arrond.),Mghogha,CSU-1,Urbain,34
Tanger Assilah,Mghogha,Mghogha (Arrond.),Tanja Ballia,CSU-1,Urbain,34
Tanger Assilah,Mghogha,Mghogha (Arrond.),Labo. Epidemiologique,LSP,Urbain,34
Tanger Assilah,Mghogha,Mghogha (Arrond.),Lkhreb,CSU-1,Urbain,34
Tanger Assilah,Mghogha,Mghogha (Arrond.),Bni Makada (Souani),CSU-1,Urbain,34
Tanger Assilah,Mghogha,Mghogha (Arrond.),Place Des Arenes,CSU-1,Urbain,34
Tanger Assilah,Mghogha,Mghogha (Arrond.),Roi Fahd,CSU-2,Urbain,34
Tanger Assilah,Mghogha,Mghogha (Arrond.),Mozart,CSU-1,Urbain,34
Tanger Assilah,Sidi Lyamani,Sidi Lyamani,Sidi Lyamani,CSR-2,Rural,45
Tanger Assilah,Sidi Lyamani,Sahel Chamali,Mejlaou,CSR-1,Rural,44
Tanger Assilah,Souani,Souani (Arrond.),Centre De Reference,CRSR,Urbain,34
Tanger Assilah,Souani,Souani (Arrond.),Branes,CSU-1,Urbain,34
Tanger Assilah,Souani,Souani (Arrond.),Ben Dibane,CSU-1,Urbain,34
Tanger Assilah,Souani,Souani (Arrond.),Hay Jadid,CSU-1,Urbain,34
Tanger Assilah,Souani,Souani (Arrond.),Emsallah,CSU-1,Urbain,34
Tanger Assilah,Souani,Souani (Arrond.),Said Nouceiri (Bni Makada),CSU-2,Urbain,34
Tetouan,Ain Lahsan,Ain Lahsan,Fondaq,CSR-1,Rural,53
Tetouan,Ain Lahsan,Souk Kdim,Souk Kdim,CSR-1,Rural,54
Tetouan,Azla -Zaitoune,Azla,Dar Allalou,DR,Rural,69
Tetouan,Azla -Zaitoune,Zaitoune,Zaitoun (Beni Salah),CSR-1,Rural,70
Tetouan,Azla -Zaitoune,Azla,Azla,CSR-1,Rural,69
Tetouan,Bni Hassan,Oulad Ali Mansour,Ichouchen,CSR-1,Rural,66
Tetouan,Bni Hassan,Bni Leit,Timizar,CSR-1,Rural,63
Tetouan,Bni Hassan,Al Oued,Khazzan Laou,CSR-1,Rural,65
Tetouan,Bni Hassan,Al Hamra,Beni Hassan,CSR-2,Rural,64
Tetouan,Bni Idder,Sahtryine,Amzal,CSR-1,Rural,60
Tetouan,Bni Idder,Bni Idder,Bni Idder,CSR-1,Rural,61
Tetouan,Bni Idder,Bghaghza,Had Bghaghza,CSR-1,Rural,62
Tetouan,Bni Karrich,Zinat,Zinate (Dar En-Nia),CSR-1,Rural,68
Tetouan,Bni Karrich,Dar Bni Karrich,Ben Karrich,CSR-2,Rural,67
Tetouan,Bni Said,Zaouiat Sidi Kacem,Tassift (Amsa),CSR-1,Rural,72
Tetouan,Bni Said,Bni Said,Bni Said (Chrouda),CSR-1,Rural,71
Tetouan,Jbel Lahbib,AL Kharroub,Dchar Tnine,CSR-1,Rural,57
Tetouan,Jbel Lahbib,Jbel Lahbib,Jbel Hbib,CSR-2,Rural,55
Tetouan,Jbel Lahbib,Bni Harchen,Bni Harchen,CSR-1,Rural,56
Tetouan,Mallalienne,Saddina,Saddina,CSR-1,Rural,59
Tetouan,Mallalienne,Mallalienne,Mallalienne,CSR-1,Rural,58
Tetouan,Oued Laou,Oued Laou (Mun.),Oued Laou,CSU-2,Urbain,52
Tetouan,Tetouan,Tétouan (Mun.),Tetouan,CRSR,Urbain,51
Tetouan,Tetouan,Tétouan (Mun.),Bab Tout,CSU-1,Urbain,51
Tetouan,Tetouan,Tétouan (Mun.),Boujara (Aviation),CSU-1,Urbain,51
Tetouan,Tetouan,Tétouan (Mun.),Coelma,CSU-1,Urbain,51
Tetouan,Tetouan,Tétouan (Mun.),Touilaa,CSU-1,Urbain,51
Tetouan,Tetouan,Tétouan (Mun.),Sidi Frij,CSU-1,Urbain,51
Tetouan,Tetouan,Tétouan (Mun.),My Hassan,CSU-1,Urbain,51
Tetouan,Tetouan,Tétouan (Mun.),Mhannech,CSU-1,Urbain,51
Tetouan,Tetouan,Tétouan (Mun.),Mallah,CSU-1,Urbain,51
Tetouan,Tetouan,Tétouan (Mun.),Samsa,CSU-1,Urbain,51
Tetouan,Tetouan,Tétouan (Mun.),Dersa,CSU-1,Urbain,51
Tetouan,Tetouan,Tétouan (Mun.),Cite Scolaire,CSU-1,Urbain,51
Tetouan,Tetouan,Tétouan (Mun.),Koratt Sebat,CSU-1,Urbain,51
Tetouan,Tetouan,Tétouan (Mun.),CDTMR,CDTMR,Urbain,51
Tetouan,Tetouan,Tétouan (Mun.),Nakkata,CSU-1,Urbain,51
Tetouan,Tetouan,Tétouan (Mun.),Dar Morsya,CSU-1,Urbain,51
Tetouan,Tetouan,Tétouan (Mun.),Tabola,CSU-1,Urbain,51
Tetouan,Tetouan,Tétouan (Mun.),Dersa Iii (Balinio),CSU-1,Urbain,51
Tetouan,Tetouan,Tétouan (Mun.),Kassabah (Dersa Ii),CSU-1,Urbain,51
Tetouan,Tetouan,Tétouan (Mun.),Sidi Talha,CSU-1,Urbain,51
