province_prefecture,indicateur,valeur,fk_territoire,theme,fichier_source,territoire_id
Fahs-Anjra,Covid-19,3,fahs anjra,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,5
Larache,Covid-19,13,larache,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,6
Ouezzane,Covid-19,8,ouezzane,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Covid-19,32,tanger assilah,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,2
Tétouan,Covid-19,17,tetouan,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Covid-19,3,m'diq fnideq,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,Tuber-culose,4935,tanger tetouan al hoceima,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,1
Al Hoceima,Tuber-culose,272,al hoceima,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,7
Chefchaouen,Tuber-culose,45,chefchaouen,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,8
Fahs-Anjra,Tuber-culose,637,fahs anjra,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,5
Larache,Tuber-culose,166,larache,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,6
Ouezzane,Tuber-culose,733,ouezzane,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Tuber-culose,437,tanger assilah,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,2
Tétouan,Tuber-culose,2443,tetouan,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Tuber-culose,202,m'diq fnideq,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,Tétanos,0,tanger tetouan al hoceima,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,1
