cg,collectivite,fk_territoire,indicateur,valeur,territoire_id
01,Région de Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,population_sedentaire_5ans_plus,3679166.0,1
01,Région de Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,natifs_residents_non_migrants,3490612.0,1
01,Région de Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,residents_recents_5ans,3568844.0,1
01,Région de Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,entrees,174103.0,1
01,Région de Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,indice_entrees (%),4.7,1
01,Région de Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,indice_sortie (%),2.2,1
01,Région de Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,sorties,78232.0,1
01.511,Préfecture de Tanger-Assilah,tanger assilah,population_sedentaire_5ans_plus,1359740.0,2
01.511,Préfecture de Tanger-Assilah,tanger assilah,natifs_residents_non_migrants,1136970.0,2
01.511,Préfecture de Tanger-Assilah,tanger assilah,residents_recents_5ans,1171899.0,2
01.511,Préfecture de Tanger-Assilah,tanger assilah,entrees,213672.0,2
01.511,Préfecture de Tanger-Assilah,tanger assilah,indice_entrees (%),15.7,2
01.511,Préfecture de Tanger-Assilah,tanger assilah,indice_sortie (%),3.0,2
01.511,Préfecture de Tanger-Assilah,tanger assilah,sorties,34929.0,2
01.511.01.0,Commune de Tanger,tanger assilah,population_sedentaire_5ans_plus,1166386.0,34
01.511.01.0,Commune de Tanger,tanger assilah,natifs_residents_non_migrants,963573.0,34
01.511.01.0,Commune de Tanger,tanger assilah,residents_recents_5ans,1019938.0,34
01.511.01.0,Commune de Tanger,tanger assilah,entrees,560670.0,34
01.511.01.0,Commune de Tanger,tanger assilah,indice_entrees (%),48.1,34
01.511.01.0,Commune de Tanger,tanger assilah,indice_sortie (%),12.4,34
01.511.01.0,Commune de Tanger,tanger assilah,sorties,126127.0,34
01.511.01.05,Arrondissement de Mghogha,tanger assilah,population_sedentaire_5ans_plus,231487.0,180
01.511.01.05,Arrondissement de Mghogha,tanger assilah,natifs_residents_non_migrants,182144.0,180
01.511.01.05,Arrondissement de Mghogha,tanger assilah,residents_recents_5ans,200944.0,180
01.511.01.05,Arrondissement de Mghogha,tanger assilah,entrees,48160.0,180
01.511.01.05,Arrondissement de Mghogha,tanger assilah,indice_entrees (%),20.8,180
01.511.01.05,Arrondissement de Mghogha,tanger assilah,indice_sortie (%),9.4,180
01.511.01.05,Arrondissement de Mghogha,tanger assilah,sorties,18800.0,180
01.511.01.06,Arrondissement de Souani,tanger assilah,population_sedentaire_5ans_plus,104325.0,181
