collectivite,cg,milieu,fk_territoire,indicateur,valeur,territoire_id
dont le centre urbain d'Ain Dorij,01.405.13.03.3,Ensemble,ouezzane,population,4852,200.0
dont le centre urbain d'Ain Dorij,01.405.13.03.3,Ensemble,ouezzane,menages,1319,200.0
Commune de Sidi Ahmed Cherif,01.405.13.11,Ensemble,ouezzane,population,7913,172.0
Commune de Sidi Ahmed Cherif,01.405.13.11,Ensemble,ouezzane,menages,2171,172.0
Commune de Sidi Bousber,01.405.13.13,Ensemble,ouezzane,population,9671,173.0
Commune de Sidi Bousber,01.405.13.13,Ensemble,ouezzane,menages,2696,173.0
Cercle de Moqrissat,01.405.09,Ensemble,ouezzane,population,40037,32.0
Cercle de Moqrissat,01.405.09,Ensemble,ouezzane,menages,10831,32.0
Commune de Brikcha,01.405.09.05,Ensemble,ouezzane,population,8777,174.0
Commune de Brikcha,01.405.09.05,Ensemble,ouezzane,menages,2508,174.0
dont le centre urbain de Brikcha,01.405.09.05.3,Ensemble,ouezzane,population,1156,201.0
dont le centre urbain de Brikcha,01.405.09.05.3,Ensemble,ouezzane,menages,388,201.0
Commune d'Asjen,01.405.09.03,Ensemble,ouezzane,population,11479,175.0
Commune d'Asjen,01.405.09.03,Ensemble,ouezzane,menages,3048,175.0
Commune de Moqrissat,01.405.09.09,Ensemble,ouezzane,population,9413,176.0
Commune de Moqrissat,01.405.09.09,Ensemble,ouezzane,menages,2585,176.0
dont le centre urbain de Moqrissat,01.405.09.09.3,Ensemble,ouezzane,population,2007,202.0
dont le centre urbain de Moqrissat,01.405.09.09.3,Ensemble,ouezzane,menages,548,202.0
Commune d'Ain Beida,01.405.09.01,Ensemble,ouezzane,population,10368,177.0
Commune d'Ain Beida,01.405.09.01,Ensemble,ouezzane,menages,2690,177.0
Cercle de Zoumi,01.405.11,Ensemble,ouezzane,population,50572,33.0
Cercle de Zoumi,01.405.11,Ensemble,ouezzane,menages,13529,33.0
Commune de Kalaat Bouqorra,01.405.11.07,Ensemble,ouezzane,population,13999,178.0
Commune de Kalaat Bouqorra,01.405.11.07,Ensemble,ouezzane,menages,3767,178.0
Commune de Zoumi,01.405.11.11,Ensemble,ouezzane,population,36573,179.0
Commune de Zoumi,01.405.11.11,Ensemble,ouezzane,menages,9762,179.0
dont le centre urbain de Zoumi,01.405.11.11.3,Ensemble,ouezzane,population,4662,203.0
dont le centre urbain de Zoumi,01.405.11.11.3,Ensemble,ouezzane,menages,1407,203.0
