territoire_id,nom,indicateur,valeur,theme,unite
182,Arrondissement de Bni Makada,Nombre d'établissements collegial,17,education,nombre
182,Arrondissement de Bni Makada,Nombre d'établissements primaire,51,education,nombre
182,Arrondissement de Bni Makada,Nombre d'établissements qualifiant,9,education,nombre
180,Arrondissement de Mghogha,Nombre d'établissements collegial,13,education,nombre
180,Arrondissement de Mghogha,Nombre d'établissements primaire,30,education,nombre
180,Arrondissement de Mghogha,Nombre d'établissements qualifiant,4,education,nombre
183,Arrondissement de Médina,Nombre d'établissements collegial,14,education,nombre
183,Arrondissement de Médina,Nombre d'établissements primaire,33,education,nombre
183,Arrondissement de Médina,Nombre d'établissements qualifiant,8,education,nombre
181,Arrondissement de Souani,Nombre d'établissements collegial,5,education,nombre
181,Arrondissement de Souani,Nombre d'établissements primaire,12,education,nombre
181,Arrondissement de Souani,Nombre d'établissements qualifiant,5,education,nombre
134,Commune d'Abdelghaya Souahel,Nombre d'établissements collegial,1,education,nombre
134,Commune d'Abdelghaya Souahel,Nombre d'établissements primaire,7,education,nombre
134,Commune d'Abdelghaya Souahel,Nombre d'établissements qualifiant,1,education,nombre
177,Commune d'Ain Beida,Nombre d'établissements collegial,1,education,nombre
177,Commune d'Ain Beida,Nombre d'établissements primaire,4,education,nombre
177,Commune d'Ain Beida,Nombre d'établissements qualifiant,1,education,nombre
53,Commune d'Ain Lahsan,Nombre d'établissements collegial,1,education,nombre
53,Commune d'Ain Lahsan,Nombre d'établissements primaire,3,education,nombre
53,Commune d'Ain Lahsan,Nombre d'établissements qualifiant,0,education,nombre
119,Commune d'Ait Kamra,Nombre d'établissements collegial,1,education,nombre
119,Commune d'Ait Kamra,Nombre d'établissements primaire,3,education,nombre
119,Commune d'Ait Kamra,Nombre d'établissements qualifiant,1,education,nombre
112,Commune d'Ait Youssef Ou Ali,Nombre d'établissements collegial,1,education,nombre
112,Commune d'Ait Youssef Ou Ali,Nombre d'établissements primaire,3,education,nombre
112,Commune d'Ait Youssef Ou Ali,Nombre d'établissements qualifiant,1,education,nombre
103,Commune d'Ajdir,Nombre d'établissements collegial,1,education,nombre
103,Commune d'Ajdir,Nombre d'établissements primaire,3,education,nombre
103,Commune d'Ajdir,Nombre d'établissements qualifiant,1,education,nombre
74,Commune d'Al Bahraoyine,Nombre d'établissements collegial,1,education,nombre
74,Commune d'Al Bahraoyine,Nombre d'établissements primaire,4,education,nombre
74,Commune d'Al Bahraoyine,Nombre d'établissements qualifiant,1,education,nombre
64,Commune d'Al Hamra,Nombre d'établissements collegial,1,education,nombre
64,Commune d'Al Hamra,Nombre d'établissements primaire,3,education,nombre
64,Commune d'Al Hamra,Nombre d'établissements qualifiant,1,education,nombre
99,Commune d'Al Hoceima,Nombre d'établissements collegial,6,education,nombre
99,Commune d'Al Hoceima,Nombre d'établissements primaire,15,education,nombre
99,Commune d'Al Hoceima,Nombre d'établissements qualifiant,4,education,nombre
57,Commune d'Al Kharroub,Nombre d'établissements collegial,1,education,nombre
57,Commune d'Al Kharroub,Nombre d'établissements primaire,2,education,nombre
57,Commune d'Al Kharroub,Nombre d'établissements qualifiant,0,education,nombre
39,Commune d'Al Manzla,Nombre d'établissements collegial,0,education,nombre
39,Commune d'Al Manzla,Nombre d'établissements primaire,1,education,nombre
39,Commune d'Al Manzla,Nombre d'établissements qualifiant,0,education,nombre
65,Commune d'Al Oued,Nombre d'établissements collegial,1,education,nombre
65,Commune d'Al Oued,Nombre d'établissements primaire,7,education,nombre
65,Commune d'Al Oued,Nombre d'établissements qualifiant,0,education,nombre
49,Commune d'Allyene,Nombre d'établissements collegial,1,education,nombre
49,Commune d'Allyene,Nombre d'établissements primaire,5,education,nombre
49,Commune d'Allyene,Nombre d'établissements qualifiant,0,education,nombre
139,Commune d'Amtar,Nombre d'établissements collegial,1,education,nombre
139,Commune d'Amtar,Nombre d'établissements primaire,6,education,nombre
139,Commune d'Amtar,Nombre d'établissements qualifiant,1,education,nombre
77,Commune d'Anjra,Nombre d'établissements collegial,1,education,nombre
77,Commune d'Anjra,Nombre d'établissements primaire,7,education,nombre
77,Commune d'Anjra,Nombre d'établissements qualifiant,1,education,nombre
42,Commune d'Aquouass Briech,Nombre d'établissements collegial,0,education,nombre
42,Commune d'Aquouass Briech,Nombre d'établissements primaire,1,education,nombre
