territoire_id,indicateur,valeur
4,Type de logement (%) - Maison sommaire / Bidonville,0.4
4,Type de logement (%) - Logement rural,8.6
4,Type de logement (%) - Autre,0.4
4,Nombre moyen de personnes par pièce d'habitation,1.5
4,Statut d'occupation du logement (%) - Propriétaire,64.7
4,Statut d'occupation du logement (%) - Locataire,21.3
4,Statut d'occupation du logement (%) - Autre,13.9
4,Âge du logement (%) - Moins de 10 ans,17.0
4,Âge du logement (%) - 10-19 ans,33.5
4,Âge du logement (%) - 20-49 ans,38.9
4,Âge du logement (%) - 50 ans ou plus,10.6
4,Disponibilité des éléments essentiels de confort (%) - Cuisine,98.0
4,Disponibilité des éléments essentiels de confort (%) - W.-C.,98.8
4,Disponibilité des éléments essentiels de confort (%) - Pièce d'eau,58.5
4,Disponibilité des éléments essentiels de confort (%) - Électricité,98.0
4,Disponibilité des éléments essentiels de confort (%) - Eau courante,81.3
4,Mode d’évacuation des eaux usées (%) - Réseau public d'assainissement,77.8
4,Mode d’évacuation des eaux usées (%) - Fosse septique,13.5
4,Mode d’évacuation des eaux usées (%) - Autre,8.8
4,Mode d’évacuation des déchets ménagers (%) - Bac à ordures de la commune,80.0
4,Mode d’évacuation des déchets ménagers (%) - Camion de la commune / Camion privé,2.3
4,Mode d’évacuation des déchets ménagers (%) - Dans la nature,15.7
4,Mode d’évacuation des déchets ménagers (%) - Autre,2.0
4,Combustible de cuisson utilisé (%) - Gaz,98.2
4,Combustible de cuisson utilisé (%) - Électricité,0.2
4,Combustible de cuisson utilisé (%) - Charbon,0.3
4,Combustible de cuisson utilisé (%) - Bois énergie,1.1
4,Combustible de cuisson utilisé (%) - Autre,0.1
4,Distance moyenne des logements à la route goudronnée (Km),1.5
5,Population municipale - Pop_municipale,99401.0
5,Ménages - Ménages population,25160.0
5,Taille moyenne des ménages - Taille moyenne,4.0
5,Ménages sédentaires,25158.0
5,Type de logement (%) - Villa / Étage de villa,1.1
5,Type de logement (%) - Appartement,1.9
5,Type de logement (%) - Maison marocaine,78.2
5,Type de logement (%) - Maison sommaire / Bidonville,0.7
5,Type de logement (%) - Logement rural,17.3
5,Type de logement (%) - Autre,0.8
5,Nombre moyen de personnes par pièce d'habitation,1.4
5,Statut d'occupation du logement (%) - Propriétaire,80.4
5,Statut d'occupation du logement (%) - Locataire,11.0
5,Statut d'occupation du logement (%) - Autre,8.6
5,Âge du logement (%) - Moins de 10 ans,27.7
5,Âge du logement (%) - 10-19 ans,31.6
5,Âge du logement (%) - 20-49 ans,27.2
5,Âge du logement (%) - 50 ans ou plus,13.6
5,Disponibilité des éléments essentiels de confort (%) - Cuisine,98.6
5,Disponibilité des éléments essentiels de confort (%) - W.-C.,99.2
5,Disponibilité des éléments essentiels de confort (%) - Pièce d'eau,52.3
5,Disponibilité des éléments essentiels de confort (%) - Électricité,96.2
5,Disponibilité des éléments essentiels de confort (%) - Eau courante,46.7
5,Mode d’évacuation des eaux usées (%) - Réseau public d'assainissement,24.2
5,Mode d’évacuation des eaux usées (%) - Fosse septique,38.8
5,Mode d’évacuation des eaux usées (%) - Autre,37.0
5,Mode d’évacuation des déchets ménagers (%) - Bac à ordures de la commune,34.2
5,Mode d’évacuation des déchets ménagers (%) - Camion de la commune / Camion privé,3.1
5,Mode d’évacuation des déchets ménagers (%) - Dans la nature,54.1
5,Mode d’évacuation des déchets ménagers (%) - Autre,8.5
5,Combustible de cuisson utilisé (%) - Gaz,97.5
5,Combustible de cuisson utilisé (%) - Électricité,0.2
5,Combustible de cuisson utilisé (%) - Charbon,0.7
5,Combustible de cuisson utilisé (%) - Bois énergie,1.5
5,Combustible de cuisson utilisé (%) - Autre,0.1
5,Distance moyenne des logements à la route goudronnée (Km),1.1
6,Population municipale - Pop_municipale,508287.0
6,Ménages - Ménages population,124642.0
6,Taille moyenne des ménages - Taille moyenne,4.1
6,Ménages sédentaires,124489.0
6,Type de logement (%) - Villa / Étage de villa,0.5
6,Type de logement (%) - Appartement,5.7
6,Type de logement (%) - Maison marocaine,64.5
6,Type de logement (%) - Maison sommaire / Bidonville,3.9
6,Type de logement (%) - Logement rural,24.7
6,Type de logement (%) - Autre,0.6
6,Nombre moyen de personnes par pièce d'habitation,1.6
6,Statut d'occupation du logement (%) - Propriétaire,75.4
6,Statut d'occupation du logement (%) - Locataire,12.3
6,Statut d'occupation du logement (%) - Autre,12.3
6,Âge du logement (%) - Moins de 10 ans,17.6
6,Âge du logement (%) - 10-19 ans,28.5
6,Âge du logement (%) - 20-49 ans,39.4
6,Âge du logement (%) - 50 ans ou plus,14.5
6,Disponibilité des éléments essentiels de confort (%) - Cuisine,97.1
6,Disponibilité des éléments essentiels de confort (%) - W.-C.,98.0
6,Disponibilité des éléments essentiels de confort (%) - Pièce d'eau,58.3
6,Disponibilité des éléments essentiels de confort (%) - Électricité,95.3
6,Disponibilité des éléments essentiels de confort (%) - Eau courante,72.5
6,Mode d’évacuation des eaux usées (%) - Réseau public d'assainissement,55.9
6,Mode d’évacuation des eaux usées (%) - Fosse septique,26.0
6,Mode d’évacuation des eaux usées (%) - Autre,18.1
6,Mode d’évacuation des déchets ménagers (%) - Bac à ordures de la commune,53.4
6,Mode d’évacuation des déchets ménagers (%) - Camion de la commune / Camion privé,2.3
6,Mode d’évacuation des déchets ménagers (%) - Dans la nature,41.4
6,Mode d’évacuation des déchets ménagers (%) - Autre,2.9
