territoire_id,indicateur,valeur
35,Mode de transport (%) - Transport informel,1.2
35,Mode de transport (%) - Animaux,0.2
35,Mode de transport (%) - Autre,0.6
35,Mode de transport (%) - Ne se déplace pas,7.3
36,Population sédentaire active occupée (15+),29055.0
36,Mode de transport (%) - À pieds,18.6
36,Mode de transport (%) - Motocycle/ Bicyclette,3.4
36,Mode de transport (%) - Voiture privée,12.0
36,Mode de transport (%) - Bus,11.1
36,Mode de transport (%) - Taxi,7.0
36,Mode de transport (%) - Transport de l'employeur / Etablissement,41.4
36,Mode de transport (%) - Train,0.1
36,Mode de transport (%) - Tram,0.0
36,Mode de transport (%) - Transport informel,1.5
36,Mode de transport (%) - Animaux,0.1
36,Mode de transport (%) - Autre,0.8
36,Mode de transport (%) - Ne se déplace pas,4.0
37,Population sédentaire active occupée (15+),6584.0
37,Mode de transport (%) - À pieds,23.1
37,Mode de transport (%) - Motocycle/ Bicyclette,6.8
37,Mode de transport (%) - Voiture privée,5.4
37,Mode de transport (%) - Bus,11.6
37,Mode de transport (%) - Taxi,3.5
37,Mode de transport (%) - Transport de l'employeur / Etablissement,33.7
37,Mode de transport (%) - Train,0.0
37,Mode de transport (%) - Tram,0.0
37,Mode de transport (%) - Transport informel,7.9
37,Mode de transport (%) - Animaux,0.2
37,Mode de transport (%) - Autre,1.1
37,Mode de transport (%) - Ne se déplace pas,6.7
38,Population sédentaire active occupée (15+),1020.0
38,Mode de transport (%) - À pieds,35.8
38,Mode de transport (%) - Motocycle/ Bicyclette,2.1
38,Mode de transport (%) - Voiture privée,3.7
38,Mode de transport (%) - Bus,13.2
38,Mode de transport (%) - Taxi,1.5
38,Mode de transport (%) - Transport de l'employeur / Etablissement,7.7
38,Mode de transport (%) - Train,0.0
38,Mode de transport (%) - Tram,0.0
38,Mode de transport (%) - Transport informel,12.7
38,Mode de transport (%) - Animaux,0.4
38,Mode de transport (%) - Autre,0.0
38,Mode de transport (%) - Ne se déplace pas,22.8
39,Population sédentaire active occupée (15+),674.0
39,Mode de transport (%) - À pieds,56.8
39,Mode de transport (%) - Motocycle/ Bicyclette,2.7
39,Mode de transport (%) - Voiture privée,2.8
39,Mode de transport (%) - Bus,8.5
39,Mode de transport (%) - Taxi,1.5
39,Mode de transport (%) - Transport de l'employeur / Etablissement,10.1
39,Mode de transport (%) - Train,0.0
39,Mode de transport (%) - Tram,0.0
39,Mode de transport (%) - Transport informel,4.6
39,Mode de transport (%) - Animaux,1.3
39,Mode de transport (%) - Autre,0.4
39,Mode de transport (%) - Ne se déplace pas,11.3
40,Population sédentaire active occupée (15+),4954.0
40,Mode de transport (%) - À pieds,25.4
40,Mode de transport (%) - Motocycle/ Bicyclette,7.0
40,Mode de transport (%) - Voiture privée,9.0
40,Mode de transport (%) - Bus,10.7
40,Mode de transport (%) - Taxi,21.7
40,Mode de transport (%) - Transport de l'employeur / Etablissement,19.6
40,Mode de transport (%) - Train,0.0
40,Mode de transport (%) - Tram,0.0
40,Mode de transport (%) - Transport informel,0.3
40,Mode de transport (%) - Animaux,0.2
40,Mode de transport (%) - Autre,0.4
40,Mode de transport (%) - Ne se déplace pas,5.5
41,Population sédentaire active occupée (15+),1626.0
41,Mode de transport (%) - À pieds,45.9
41,Mode de transport (%) - Motocycle/ Bicyclette,5.9
41,Mode de transport (%) - Voiture privée,6.2
41,Mode de transport (%) - Bus,16.1
41,Mode de transport (%) - Taxi,1.4
41,Mode de transport (%) - Transport de l'employeur / Etablissement,11.8
41,Mode de transport (%) - Train,0.0
41,Mode de transport (%) - Tram,0.0
41,Mode de transport (%) - Transport informel,6.9
41,Mode de transport (%) - Animaux,0.2
41,Mode de transport (%) - Autre,0.7
41,Mode de transport (%) - Ne se déplace pas,4.9
42,Population sédentaire active occupée (15+),1093.0
42,Mode de transport (%) - À pieds,31.0
42,Mode de transport (%) - Motocycle/ Bicyclette,6.3
42,Mode de transport (%) - Voiture privée,8.5
42,Mode de transport (%) - Bus,16.0
42,Mode de transport (%) - Taxi,11.3
42,Mode de transport (%) - Transport de l'employeur / Etablissement,8.6
42,Mode de transport (%) - Train,0.0
42,Mode de transport (%) - Tram,0.0
42,Mode de transport (%) - Transport informel,1.3
42,Mode de transport (%) - Animaux,0.6
42,Mode de transport (%) - Autre,0.5
42,Mode de transport (%) - Ne se déplace pas,15.7
43,Population sédentaire active occupée (15+),4657.0
43,Mode de transport (%) - À pieds,30.8
43,Mode de transport (%) - Motocycle/ Bicyclette,2.4
43,Mode de transport (%) - Voiture privée,3.9
43,Mode de transport (%) - Bus,5.4
43,Mode de transport (%) - Taxi,2.5
43,Mode de transport (%) - Transport de l'employeur / Etablissement,11.7
