province_prefecture,milieu,fk_territoire,indicateur,valeur,territoire_id,indicateur_id
Province de Chefchaouen,Rural,chefchaouen,menages_2014,69218.0,8.0,65
Province de Chefchaouen,Rural,chefchaouen,population_legale_2024,350081.0,8.0,68
Province de Chefchaouen,Rural,chefchaouen,menages_2024,74345.0,8.0,66
Province de Chefchaouen,Rural,chefchaouen,taux_accroissement_pop_pct,-1.32,8.0,70
Province de Chefchaouen,Rural,chefchaouen,taux_accroissement_menages_pct,0.72,8.0,69
Province de Fahs-Anjra,Rural,fahs anjra,population_legale_2014,76447.0,5.0,67
Province de Fahs-Anjra,Rural,fahs anjra,menages_2014,16823.0,5.0,65
Province de Fahs-Anjra,Rural,fahs anjra,population_legale_2024,97026.0,5.0,68
Province de Fahs-Anjra,Rural,fahs anjra,menages_2024,24261.0,5.0,66
Province de Fahs-Anjra,Rural,fahs anjra,taux_accroissement_pop_pct,2.41,5.0,70
Province de Fahs-Anjra,Rural,fahs anjra,taux_accroissement_menages_pct,3.73,5.0,69
Province de Larache,Rural,larache,population_legale_2014,231027.0,6.0,67
Province de Larache,Rural,larache,menages_2014,44565.0,6.0,65
Province de Larache,Rural,larache,population_legale_2024,234761.0,6.0,68
Province de Larache,Rural,larache,menages_2024,51681.0,6.0,66
Province de Larache,Rural,larache,taux_accroissement_pop_pct,0.16,6.0,70
Province de Larache,Rural,larache,taux_accroissement_menages_pct,1.49,6.0,69
Préfecture de M'diq-Fnideq,Rural,m'diq fnideq,population_legale_2014,11879.0,3.0,67
Préfecture de M'diq-Fnideq,Rural,m'diq fnideq,menages_2014,2635.0,3.0,65
Préfecture de M'diq-Fnideq,Rural,m'diq fnideq,population_legale_2024,13319.0,3.0,68
Préfecture de M'diq-Fnideq,Rural,m'diq fnideq,menages_2024,3352.0,3.0,66
Préfecture de M'diq-Fnideq,Rural,m'diq fnideq,taux_accroissement_pop_pct,1.15,3.0,70
Préfecture de M'diq-Fnideq,Rural,m'diq fnideq,taux_accroissement_menages_pct,2.44,3.0,69
Province de Ouezzane,Rural,ouezzane,population_legale_2014,230398.0,9.0,67
Province de Ouezzane,Rural,ouezzane,menages_2014,50307.0,9.0,65
Province de Ouezzane,Rural,ouezzane,population_legale_2024,200051.0,9.0,68
Province de Ouezzane,Rural,ouezzane,menages_2024,53844.0,9.0,66
Province de Ouezzane,Rural,ouezzane,taux_accroissement_pop_pct,-1.4,9.0,70
Province de Ouezzane,Rural,ouezzane,taux_accroissement_menages_pct,0.68,9.0,69
Préfecture de Tanger-Assilah,Rural,tanger assilah,population_legale_2014,60560.0,2.0,67
Préfecture de Tanger-Assilah,Rural,tanger assilah,menages_2014,12907.0,2.0,65
Préfecture de Tanger-Assilah,Rural,tanger assilah,population_legale_2024,91745.0,2.0,68
Préfecture de Tanger-Assilah,Rural,tanger assilah,menages_2024,21318.0,2.0,66
Préfecture de Tanger-Assilah,Rural,tanger assilah,taux_accroissement_pop_pct,4.24,2.0,70
Préfecture de Tanger-Assilah,Rural,tanger assilah,taux_accroissement_menages_pct,5.15,2.0,69
Province de Tétouan,Rural,tetouan,population_legale_2014,152401.0,4.0,67
Province de Tétouan,Rural,tetouan,menages_2014,30185.0,4.0,65
Province de Tétouan,Rural,tetouan,population_legale_2024,171874.0,4.0,68
Province de Tétouan,Rural,tetouan,menages_2024,38895.0,4.0,66
Province de Tétouan,Rural,tetouan,taux_accroissement_pop_pct,1.21,4.0,70
Province de Tétouan,Rural,tetouan,taux_accroissement_menages_pct,2.57,4.0,69
Région de Tanger-Tétouan-Al Hoceima,Rural,tanger tetouan al hoceima,population_legale_2014,1425004.0,1.0,67
Région de Tanger-Tétouan-Al Hoceima,Rural,tanger tetouan al hoceima,menages_2014,273956.0,1.0,65
Région de Tanger-Tétouan-Al Hoceima,Rural,tanger tetouan al hoceima,population_legale_2024,1391407.0,1.0,68
Région de Tanger-Tétouan-Al Hoceima,Rural,tanger tetouan al hoceima,menages_2024,320094.0,1.0,66
Région de Tanger-Tétouan-Al Hoceima,Rural,tanger tetouan al hoceima,taux_accroissement_pop_pct,-0.24,1.0,70
Région de Tanger-Tétouan-Al Hoceima,Rural,tanger tetouan al hoceima,taux_accroissement_menages_pct,1.57,1.0,69
Province d'Al Hoceima,Ensemble,al hoceima,population_legale_2014,399654.0,7.0,67
Province d'Al Hoceima,Ensemble,al hoceima,menages_2014,79326.0,7.0,65
Province d'Al Hoceima,Ensemble,al hoceima,population_legale_2024,371527.0,7.0,68
Province d'Al Hoceima,Ensemble,al hoceima,menages_2024,89181.0,7.0,66
Province d'Al Hoceima,Ensemble,al hoceima,taux_accroissement_pop_pct,-0.73,7.0,70
Province d'Al Hoceima,Ensemble,al hoceima,taux_accroissement_menages_pct,1.18,7.0,69
Province de Chefchaouen,Ensemble,chefchaouen,population_legale_2014,457432.0,8.0,67
Province de Chefchaouen,Ensemble,chefchaouen,menages_2014,82914.0,8.0,65
Province de Chefchaouen,Ensemble,chefchaouen,population_legale_2024,412713.0,8.0,68
Province de Chefchaouen,Ensemble,chefchaouen,menages_2024,90956.0,8.0,66
Province de Chefchaouen,Ensemble,chefchaouen,taux_accroissement_pop_pct,-1.02,8.0,70
Province de Chefchaouen,Ensemble,chefchaouen,taux_accroissement_menages_pct,0.93,8.0,69
Province de Fahs-Anjra,Ensemble,fahs anjra,population_legale_2014,76447.0,5.0,67
Province de Fahs-Anjra,Ensemble,fahs anjra,menages_2014,16823.0,5.0,65
Province de Fahs-Anjra,Ensemble,fahs anjra,population_legale_2024,100789.0,5.0,68
Province de Fahs-Anjra,Ensemble,fahs anjra,menages_2024,25160.0,5.0,66
Province de Fahs-Anjra,Ensemble,fahs anjra,taux_accroissement_pop_pct,2.8,5.0,70
Province de Fahs-Anjra,Ensemble,fahs anjra,taux_accroissement_menages_pct,4.11,5.0,69
Province de Larache,Ensemble,larache,population_legale_2014,496687.0,6.0,67
Province de Larache,Ensemble,larache,menages_2014,107357.0,6.0,65
Province de Larache,Ensemble,larache,population_legale_2024,510211.0,6.0,68
Province de Larache,Ensemble,larache,menages_2024,124642.0,6.0,66
Province de Larache,Ensemble,larache,taux_accroissement_pop_pct,0.27,6.0,70
Province de Larache,Ensemble,larache,taux_accroissement_menages_pct,1.5,6.0,69
Préfecture de M'diq-Fnideq,Ensemble,m'diq fnideq,population_legale_2014,209897.0,3.0,67
Préfecture de M'diq-Fnideq,Ensemble,m'diq fnideq,menages_2014,51139.0,3.0,65
Préfecture de M'diq-Fnideq,Ensemble,m'diq fnideq,population_legale_2024,254064.0,3.0,68
Préfecture de M'diq-Fnideq,Ensemble,m'diq fnideq,menages_2024,67797.0,3.0,66
Préfecture de M'diq-Fnideq,Ensemble,m'diq fnideq,taux_accroissement_pop_pct,1.93,3.0,70
Préfecture de M'diq-Fnideq,Ensemble,m'diq fnideq,taux_accroissement_menages_pct,2.86,3.0,69
Province de Ouezzane,Ensemble,ouezzane,population_legale_2014,300637.0,9.0,67
Province de Ouezzane,Ensemble,ouezzane,menages_2014,67858.0,9.0,65
