cg,collectivite,fk_territoire,indicateur,valeur,territoire_id,indicateur_id
01,Région de Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,population_sedentaire,3295450.0,1,23
01,Région de Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,natifs_residents_non_migrants,3017801.0,1,22
01,Région de Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,residents_recents_10ans,3138577.0,1,24
01,Région de Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,entrees,259662.0,1,19
01,Région de Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,indice_entrees (%),7.88,1,20
01,Région de Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,sorties,120775.0,1,25
01,Région de Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,indice_sortie (%),3.85,1,21
01.511,Préfecture de Tanger-Assilah,tanger assilah,population_sedentaire,1219442.0,2,23
01.511,Préfecture de Tanger-Assilah,tanger assilah,natifs_residents_non_migrants,884323.0,2,22
01.511,Préfecture de Tanger-Assilah,tanger assilah,residents_recents_10ans,932612.0,2,24
01.511,Préfecture de Tanger-Assilah,tanger assilah,entrees,323799.0,2,19
01.511,Préfecture de Tanger-Assilah,tanger assilah,indice_entrees (%),26.55,2,20
01.511,Préfecture de Tanger-Assilah,tanger assilah,sorties,48288.0,2,25
01.511,Préfecture de Tanger-Assilah,tanger assilah,indice_sortie (%),5.18,2,21
01.511.01.0,Commune de Tanger,tanger assilah,population_sedentaire,1049236.0,34,23
01.511.01.0,Commune de Tanger,tanger assilah,natifs_residents_non_migrants,741358.0,34,22
01.511.01.0,Commune de Tanger,tanger assilah,residents_recents_10ans,816257.0,34,24
01.511.01.0,Commune de Tanger,tanger assilah,entrees,541217.0,34,19
01.511.01.0,Commune de Tanger,tanger assilah,indice_entrees (%),51.58,34,20
01.511.01.0,Commune de Tanger,tanger assilah,sorties,114580.0,34,25
01.511.01.0,Commune de Tanger,tanger assilah,indice_sortie (%),14.04,34,21
01.511.01.05,Arrondissement de Mghogha,tanger assilah,population_sedentaire,207987.0,180,23
01.511.01.05,Arrondissement de Mghogha,tanger assilah,natifs_residents_non_migrants,132189.0,180,22
01.511.01.05,Arrondissement de Mghogha,tanger assilah,residents_recents_10ans,158546.0,180,24
01.511.01.05,Arrondissement de Mghogha,tanger assilah,entrees,74206.0,180,19
01.511.01.05,Arrondissement de Mghogha,tanger assilah,indice_entrees (%),35.68,180,20
01.511.01.05,Arrondissement de Mghogha,tanger assilah,sorties,26357.0,180,25
01.511.01.05,Arrondissement de Mghogha,tanger assilah,indice_sortie (%),16.62,180,21
01.511.01.06,Arrondissement de Souani,tanger assilah,population_sedentaire,96443.0,181,23
01.511.01.06,Arrondissement de Souani,tanger assilah,natifs_residents_non_migrants,70377.0,181,22
01.511.01.06,Arrondissement de Souani,tanger assilah,residents_recents_10ans,84628.0,181,24
01.511.01.06,Arrondissement de Souani,tanger assilah,entrees,25035.0,181,19
01.511.01.06,Arrondissement de Souani,tanger assilah,indice_entrees (%),25.96,181,20
01.511.01.06,Arrondissement de Souani,tanger assilah,sorties,14251.0,181,25
01.511.01.06,Arrondissement de Souani,tanger assilah,indice_sortie (%),16.84,181,21
01.511.01.03,Arrondissement de Bni Makada,tanger assilah,population_sedentaire,458577.0,182,23
01.511.01.03,Arrondissement de Bni Makada,tanger assilah,natifs_residents_non_migrants,292794.0,182,22
01.511.01.03,Arrondissement de Bni Makada,tanger assilah,residents_recents_10ans,354853.0,182,24
01.511.01.03,Arrondissement de Bni Makada,tanger assilah,entrees,164076.0,182,19
01.511.01.03,Arrondissement de Bni Makada,tanger assilah,indice_entrees (%),35.78,182,20
01.511.01.03,Arrondissement de Bni Makada,tanger assilah,sorties,62059.0,182,25
01.511.01.03,Arrondissement de Bni Makada,tanger assilah,indice_sortie (%),17.49,182,21
01.511.01.07,Arrondissement de Médina,tanger assilah,population_sedentaire,286229.0,183,23
01.511.01.07,Arrondissement de Médina,tanger assilah,natifs_residents_non_migrants,181047.0,183,22
01.511.01.07,Arrondissement de Médina,tanger assilah,residents_recents_10ans,218230.0,183,24
01.511.01.07,Arrondissement de Médina,tanger assilah,entrees,98896.0,183,19
01.511.01.07,Arrondissement de Médina,tanger assilah,indice_entrees (%),34.55,183,20
01.511.01.07,Arrondissement de Médina,tanger assilah,sorties,37183.0,183,25
01.511.01.07,Arrondissement de Médina,tanger assilah,indice_sortie (%),17.04,183,21
01.511.01.01,Commune d'Assilah,tanger assilah,population_sedentaire,28559.0,35,23
01.511.01.01,Commune d'Assilah,tanger assilah,natifs_residents_non_migrants,23695.0,35,22
01.511.01.01,Commune d'Assilah,tanger assilah,residents_recents_10ans,27887.0,35,24
01.511.01.01,Commune d'Assilah,tanger assilah,entrees,4607.0,35,19
01.511.01.01,Commune d'Assilah,tanger assilah,indice_entrees (%),16.13,35,20
01.511.01.01,Commune d'Assilah,tanger assilah,sorties,4192.0,35,25
01.511.01.01,Commune d'Assilah,tanger assilah,indice_sortie (%),15.03,35,21
01.511.01.09,Commune de Gueznaia,tanger assilah,population_sedentaire,68729.0,36,23
01.511.01.09,Commune de Gueznaia,tanger assilah,natifs_residents_non_migrants,20198.0,36,22
01.511.01.09,Commune de Gueznaia,tanger assilah,residents_recents_10ans,25793.0,36,24
01.511.01.09,Commune de Gueznaia,tanger assilah,entrees,48207.0,36,19
01.511.01.09,Commune de Gueznaia,tanger assilah,indice_entrees (%),70.14,36,20
01.511.01.09,Commune de Gueznaia,tanger assilah,sorties,5596.0,36,25
01.511.01.09,Commune de Gueznaia,tanger assilah,indice_sortie (%),21.7,36,21
01.511.05.19,Commune de Hjar Ennhal,tanger assilah,population_sedentaire,19457.0,37,23
01.511.05.19,Commune de Hjar Ennhal,tanger assilah,natifs_residents_non_migrants,9713.0,37,22
01.511.05.19,Commune de Hjar Ennhal,tanger assilah,residents_recents_10ans,10530.0,37,24
01.511.05.19,Commune de Hjar Ennhal,tanger assilah,entrees,9738.0,37,19
01.511.05.19,Commune de Hjar Ennhal,tanger assilah,indice_entrees (%),50.05,37,20
01.511.05.19,Commune de Hjar Ennhal,tanger assilah,sorties,817.0,37,25
01.511.05.19,Commune de Hjar Ennhal,tanger assilah,indice_sortie (%),7.76,37,21
01.511.05.07,Commune de Dar Chaoui,tanger assilah,population_sedentaire,3764.0,38,23
01.511.05.07,Commune de Dar Chaoui,tanger assilah,natifs_residents_non_migrants,3404.0,38,22
01.511.05.07,Commune de Dar Chaoui,tanger assilah,residents_recents_10ans,4677.0,38,24
01.511.05.07,Commune de Dar Chaoui,tanger assilah,entrees,353.0,38,19
01.511.05.07,Commune de Dar Chaoui,tanger assilah,indice_entrees (%),9.38,38,20
01.511.05.07,Commune de Dar Chaoui,tanger assilah,sorties,1273.0,38,25
01.511.05.07,Commune de Dar Chaoui,tanger assilah,indice_sortie (%),27.22,38,21
01.511.05.07.3,dont le centre urbain de Dar Chaoui,tanger assilah,population_sedentaire,1270.0,184,23
01.511.05.07.3,dont le centre urbain de Dar Chaoui,tanger assilah,natifs_residents_non_migrants,1028.0,184,22
01.511.05.07.3,dont le centre urbain de Dar Chaoui,tanger assilah,residents_recents_10ans,1413.0,184,24
01.511.05.07.3,dont le centre urbain de Dar Chaoui,tanger assilah,entrees,235.0,184,19
01.511.05.07.3,dont le centre urbain de Dar Chaoui,tanger assilah,indice_entrees (%),18.5,184,20
01.511.05.07.3,dont le centre urbain de Dar Chaoui,tanger assilah,sorties,385.0,184,25
01.511.05.07.3,dont le centre urbain de Dar Chaoui,tanger assilah,indice_sortie (%),27.25,184,21
01.511.05.01,Commune d'Al Manzla,tanger assilah,population_sedentaire,2205.0,39,23
01.511.05.01,Commune d'Al Manzla,tanger assilah,natifs_residents_non_migrants,1969.0,39,22
01.511.05.01,Commune d'Al Manzla,tanger assilah,residents_recents_10ans,2316.0,39,24
01.511.05.01,Commune d'Al Manzla,tanger assilah,entrees,230.0,39,19
01.511.05.01,Commune d'Al Manzla,tanger assilah,indice_entrees (%),10.43,39,20
01.511.05.01,Commune d'Al Manzla,tanger assilah,sorties,347.0,39,25
01.511.05.01,Commune d'Al Manzla,tanger assilah,indice_sortie (%),14.98,39,21
01.511.05.17,Commune de Laaouama,tanger assilah,population_sedentaire,14714.0,40,23
01.511.05.17,Commune de Laaouama,tanger assilah,natifs_residents_non_migrants,7793.0,40,22
01.511.05.17,Commune de Laaouama,tanger assilah,residents_recents_10ans,10948.0,40,24
01.511.05.17,Commune de Laaouama,tanger assilah,entrees,6895.0,40,19
01.511.05.17,Commune de Laaouama,tanger assilah,indice_entrees (%),46.86,40,20
01.511.05.17,Commune de Laaouama,tanger assilah,sorties,3155.0,40,25
01.511.05.17,Commune de Laaouama,tanger assilah,indice_sortie (%),28.82,40,21
01.511.05.05,Commune de Sebt Azzinate,tanger assilah,population_sedentaire,5701.0,41,23
01.511.05.05,Commune de Sebt Azzinate,tanger assilah,natifs_residents_non_migrants,4558.0,41,22
01.511.05.05,Commune de Sebt Azzinate,tanger assilah,residents_recents_10ans,5285.0,41,24
01.511.05.05,Commune de Sebt Azzinate,tanger assilah,entrees,1142.0,41,19
01.511.05.05,Commune de Sebt Azzinate,tanger assilah,indice_entrees (%),20.03,41,20
01.511.05.05,Commune de Sebt Azzinate,tanger assilah,sorties,727.0,41,25
01.511.05.05,Commune de Sebt Azzinate,tanger assilah,indice_sortie (%),13.76,41,21
01.511.03.03,Commune d'Aquouass Briech,tanger assilah,population_sedentaire,3855.0,42,23
01.511.03.03,Commune d'Aquouass Briech,tanger assilah,natifs_residents_non_migrants,3399.0,42,22
01.511.03.03,Commune d'Aquouass Briech,tanger assilah,residents_recents_10ans,3679.0,42,24
01.511.03.03,Commune d'Aquouass Briech,tanger assilah,entrees,432.0,42,19
01.511.03.03,Commune d'Aquouass Briech,tanger assilah,indice_entrees (%),11.21,42,20
01.511.03.03,Commune d'Aquouass Briech,tanger assilah,sorties,280.0,42,25
01.511.03.03,Commune d'Aquouass Briech,tanger assilah,indice_sortie (%),7.61,42,21
01.511.03.15,Commune de Had Al Gharbia,tanger assilah,population_sedentaire,10632.0,43,23
01.511.03.15,Commune de Had Al Gharbia,tanger assilah,natifs_residents_non_migrants,9484.0,43,22
01.511.03.15,Commune de Had Al Gharbia,tanger assilah,residents_recents_10ans,11637.0,43,24
01.511.03.15,Commune de Had Al Gharbia,tanger assilah,entrees,1120.0,43,19
01.511.03.15,Commune de Had Al Gharbia,tanger assilah,indice_entrees (%),10.53,43,20
01.511.03.15,Commune de Had Al Gharbia,tanger assilah,sorties,2152.0,43,25
01.511.03.15,Commune de Had Al Gharbia,tanger assilah,indice_sortie (%),18.49,43,21
01.511.03.11,Commune de Sahel Chamali,tanger assilah,population_sedentaire,4181.0,44,23
01.511.03.11,Commune de Sahel Chamali,tanger assilah,natifs_residents_non_migrants,3852.0,44,22
01.511.03.11,Commune de Sahel Chamali,tanger assilah,residents_recents_10ans,4065.0,44,24
01.511.03.11,Commune de Sahel Chamali,tanger assilah,entrees,318.0,44,19
01.511.03.11,Commune de Sahel Chamali,tanger assilah,indice_entrees (%),7.61,44,20
01.511.03.11,Commune de Sahel Chamali,tanger assilah,sorties,213.0,44,25
01.511.03.11,Commune de Sahel Chamali,tanger assilah,indice_sortie (%),5.24,44,21
01.511.03.13,Commune de Sidi Lyamani,tanger assilah,population_sedentaire,8409.0,45,23
01.511.03.13,Commune de Sidi Lyamani,tanger assilah,natifs_residents_non_migrants,7764.0,45,22
01.511.03.13,Commune de Sidi Lyamani,tanger assilah,residents_recents_10ans,9536.0,45,24
01.511.03.13,Commune de Sidi Lyamani,tanger assilah,entrees,632.0,45,19
01.511.03.13,Commune de Sidi Lyamani,tanger assilah,indice_entrees (%),7.52,45,20
01.511.03.13,Commune de Sidi Lyamani,tanger assilah,sorties,1772.0,45,25
01.511.03.13,Commune de Sidi Lyamani,tanger assilah,indice_sortie (%),18.58,45,21
01.511.03.13.3,dont le centre urbain de Tnine Sidi Lyamani,tanger assilah,population_sedentaire,856.0,185,23
01.511.03.13.3,dont le centre urbain de Tnine Sidi Lyamani,tanger assilah,natifs_residents_non_migrants,729.0,185,22
01.511.03.13.3,dont le centre urbain de Tnine Sidi Lyamani,tanger assilah,residents_recents_10ans,971.0,185,24
01.511.03.13.3,dont le centre urbain de Tnine Sidi Lyamani,tanger assilah,entrees,125.0,185,19
01.511.03.13.3,dont le centre urbain de Tnine Sidi Lyamani,tanger assilah,indice_entrees (%),14.6,185,20
01.511.03.13.3,dont le centre urbain de Tnine Sidi Lyamani,tanger assilah,sorties,242.0,185,25
01.511.03.13.3,dont le centre urbain de Tnine Sidi Lyamani,tanger assilah,indice_sortie (%),24.92,185,21
01.573,Préfecture de M'diq-Fnideq,m'diq fnideq,population_sedentaire,208356.0,3,23
01.573,Préfecture de M'diq-Fnideq,m'diq fnideq,natifs_residents_non_migrants,159299.0,3,22
01.573,Préfecture de M'diq-Fnideq,m'diq fnideq,residents_recents_10ans,173162.0,3,24
01.573,Préfecture de M'diq-Fnideq,m'diq fnideq,entrees,47835.0,3,19
01.573,Préfecture de M'diq-Fnideq,m'diq fnideq,indice_entrees (%),22.96,3,20
01.573,Préfecture de M'diq-Fnideq,m'diq fnideq,sorties,13864.0,3,25
01.573,Préfecture de M'diq-Fnideq,m'diq fnideq,indice_sortie (%),8.01,3,21
01.573.01.05,Commune de M'diq,m'diq fnideq,population_sedentaire,55489.0,46,23
01.573.01.05,Commune de M'diq,m'diq fnideq,natifs_residents_non_migrants,43438.0,46,22
01.573.01.05,Commune de M'diq,m'diq fnideq,residents_recents_10ans,47517.0,46,24
01.573.01.05,Commune de M'diq,m'diq fnideq,entrees,11859.0,46,19
01.573.01.05,Commune de M'diq,m'diq fnideq,indice_entrees (%),21.37,46,20
01.573.01.05,Commune de M'diq,m'diq fnideq,sorties,4080.0,46,25
01.573.01.05,Commune de M'diq,m'diq fnideq,indice_sortie (%),8.59,46,21
