province_prefecture,commune_rurale,nb_douars,acces_sante_km,acces_sante_med,acces_route_goudronnee_km,acces_ecole_primaire_km,acces_college_km,pct_douars_sante_plus5km,territoire_id
Tanger-Assilah طنجة - أصيلة ,Aquouass Briech اقواس برييش,11,7.5,8.9,1.0,1.5,8.6,72.7,42.0
فحص - انجرة Fahs-Anjra,Malloussa ملوسة,17,7.5,7.9,1.1,1.6,6.8,70.6,73.0
العرائش Larache,Zaaroura زعرورة,19,7.4,8.0,1.2,0.8,7.4,73.7,92.0
شفشاون Chefchaouen,باب تازة Bab Taza,20,7.3,6.1,1.7,1.4,7.6,55.0,148.0
وزان Ouazzane,Teroual تروال,29,7.3,6.9,0.7,2.0,7.5,69.0,168.0
العرائش Larache,Souaken السواكن,20,7.2,6.1,1.0,0.9,6.7,60.0,97.0
وزان Ouazzane,Zghira ازغيرة,30,7.2,6.3,0.8,2.1,6.9,73.3,169.0
شفشاون Chefchaouen,Amtar امتار ,28,7.1,0.8,1.3,0.5,7.1,46.4,139.0
Tétouan تطوان,Saddina صدينة,13,7.1,5.0,0.2,5.8,6.5,46.2,59.0
 الحسيمة  Al Hoceima,Zaouiat Sidi Abdelkaderزاوية سيدي عبد القادر,15,7.1,5.0,2.1,1.9,7.0,46.7,115.0
 الحسيمة  Al Hoceima,Imrabten امرابطن,14,7.0,4.4,2.1,1.9,7.0,42.9,114.0
شفشاون Chefchaouen,Tassift تاسيفت,20,7.0,2.1,3.4,0.6,7.3,40.0,161.0
وزان Ouazzane,Ain Beida عين بيضاء,35,7.0,4.6,2.6,1.4,7.5,48.6,177.0
Tétouan تطوان,Bghaghza بغاغزة,25,7.0,7.0,0.6,0.6,6.6,56.0,62.0
وزان Ouazzane,Kalaat Bouqorra قلعة بوقرة,25,6.8,6.5,1.5,2.0,6.7,52.0,178.0
 الحسيمة  Al Hoceima,Bni Boufrah بني بوفراح,25,6.7,4.8,1.5,2.7,6.5,48.0,104.0
Tétouan تطوان,AL Kharroub الخروب,10,6.6,5.4,0.5,1.2,6.6,50.0,57.0
شفشاون Chefchaouen,Tanaqoub تنقوب,41,6.6,4.3,2.1,0.8,6.8,46.3,154.0
وزان Ouazzane,Mzefroune امزفرون,17,6.6,6.0,1.1,0.7,6.1,64.7,164.0
 الحسيمة  Al Hoceima,Bni Hadifa بني حذيفة,7,6.5,5.8,1.2,1.6,6.7,57.1,116.0
وزان Ouazzane,Lamjaara لمجاعرة,31,6.5,6.2,1.0,1.8,6.8,54.8,171.0
شفشاون Chefchaouen,Bni Salah بني صالح,18,6.5,5.0,1.3,1.8,5.0,50.0,149.0
العرائش Larache,Zouada زوادة,26,6.3,6.5,1.6,1.2,6.2,69.2,83.0
فحص - انجرة Fahs-Anjra,Anjra أنجرة,37,6.3,6.5,1.0,0.8,6.1,62.2,77.0
العرائش Larache,Rissana Janoubia  ريصانة الجنوبية,15,6.2,6.0,3.3,1.3,6.2,53.3,95.0
Tétouan تطوان,Bni Harchen بني حرشن,44,6.2,3.2,1.1,0.9,6.5,40.9,56.0
العرائش Larache,Oulad Ouchih أولاد اوشيح,16,6.1,4.2,1.1,0.7,7.6,43.8,96.0
شفشاون Chefchaouen,Fifi فيفي,20,6.1,7.6,3.1,1.6,6.1,65.0,152.0
شفشاون Chefchaouen,Bni Ahmed Cherqia بني احمد الشرقية,16,6.1,5.0,3.0,1.3,6.1,50.0,144.0
 الحسيمة  Al Hoceima,Bni Bounsarبني بونصار,22,6.1,3.4,2.0,1.5,5.0,36.4,126.0
العرائش Larache,Tazroute تازروت,25,6.1,4.1,1.7,0.5,6.5,48.0,89.0
وزان Ouazzane,Sidi Redouane سيدي رضوان,32,6.0,6.6,0.8,1.8,5.0,53.1,166.0
وزان Ouazzane,Masmouda مصمودة,30,6.0,6.6,0.4,0.8,7.3,66.7,165.0
 الحسيمة  Al Hoceima,Bni Bchirبني ابشير,22,5.9,7.0,3.8,1.0,5.8,59.1,125.0
العرائش Larache,Bni Arouss بني عروس,27,5.8,5.3,1.3,0.8,5.6,51.9,88.0
العرائش Larache,Rissana Chamalia ريصانة الشمالية,23,5.7,4.1,1.7,1.3,5.8,47.8,94.0
 الحسيمة  Al Hoceima,Bni Gmil Maksouline بني جميل مكصولين,29,5.7,3.0,1.6,1.1,5.7,41.4,106.0
 الحسيمة  Al Hoceima,Senada سنادة,31,5.6,5.2,1.5,1.7,6.3,51.6,105.0
 الحسيمة  Al Hoceima,Issaguen اساكن,31,5.6,5.2,3.0,2.8,6.1,54.8,131.0
شفشاون Chefchaouen,Laghdirلغدير,24,5.6,4.0,3.3,1.1,7.1,41.7,155.0
وزان Ouazzane,Sidi Ahmed Cherif سيدي أحمد الشريف,24,5.6,6.7,0.9,1.5,5.5,58.3,172.0
Tétouan تطوان,Ain Lahsan عين لحصن,15,5.5,5.0,1.0,1.7,5.5,46.7,53.0
Tétouan تطوان,Mallalienne الملاليين,10,5.4,5.4,3.3,1.6,5.3,60.0,58.0
فحص - انجرة Fahs-Anjra,Jouamaa جوامعة,22,5.4,2.5,0.8,1.0,5.4,31.8,76.0
العرائش Larache,Souk Tolba سوق الطلبة,25,5.4,3.1,0.6,0.8,3.9,40.0,98.0
Tanger-Assilah طنجة - أصيلة ,Sahel Chamali الساحل الشمالي,13,5.1,5.7,0.9,1.6,5.0,53.8,44.0
العرائش Larache,Ksar Bjir قصر بجير,25,5.0,2.0,0.7,0.8,4.2,44.0,84.0
شفشاون Chefchaouen,Bni Selmane بني سلمان,55,5.0,5.0,1.4,1.0,8.8,49.1,156.0
Tanger-Assilah طنجة - أصيلة ,Laaouama العوامة,9,5.0,5.2,0.5,1.2,3.4,55.6,40.0
Tétouan تطوان,Al Hamra الحمراء,15,4.9,4.1,1.6,2.0,4.9,26.7,64.0
وزان Ouazzane,Sidi Bousber سيدي بوصبر,20,4.9,5.7,0.5,1.7,5.2,60.0,173.0
شفشاون Chefchaouen,Tizgane تزكان,34,4.8,2.0,4.5,1.1,6.2,35.3,160.0
 الحسيمة  Al Hoceima,Ait Kamra آيت قمرة,11,4.7,3.7,1.7,1.8,5.2,45.5,119.0
Tétouan تطوان,Zaouiat Sidi Kacem زاوية سيدي قاسم,55,4.6,0.0,2.0,1.0,4.6,27.3,72.0
العرائش Larache,Ayacha عياشة,41,4.6,0.0,1.4,1.2,4.8,31.7,90.0
