etablissement_id,nom_etablissement,adresse,commune,province,region,type_etablissement,fk_territoire,commune_norm,territoire_id_commune
122,SS FAJ RIH,DOUAR FAJ RIH CBGHAGHZA  TETOUAN,Bghaghza,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,bghaghza,62
123,ss TAZROUTE,DOUAR TAZROUTE CBGHAGHZA  TETOUAN,Bghaghza,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,bghaghza,62
124,ss LHRARZA,DOUAR LHRARZA COMUNE BGHAGHZA  TETOUAN,Bghaghza,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,bghaghza,62
125,ss BNI HMAYED,DOUAR LTNINE C ALKHARROUB  TETOUAN,AL Kharroub,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,al kharroub,57
126,ss ZAOUIA,DOUAR ZAOUIA  COMMUNE RURAL  ALKHARROUB  TETOUAN,AL Kharroub,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,al kharroub,57
127,ECOLE AHRIK,DOUAR AHRIK CZAYTOUNE  TETOUAN,Zaitoune,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,zaitoune,70
128,SS KITANE,DOUAR KITANE CZAYTOUNE  AZLA,Zaitoune,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,zaitoune,70
129,SS DAR AL GHAZI,DOUAR DAR AL GHAZI C ZAYTOUNE  CERCLE TETOUAN,Zaitoune,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,zaitoune,70
130,SS KNIKRA, route azla DOUAR KNIKRA AZLA TETOUAN  ,Azla,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,azla,69
131,SS DAR ALALOU,DOUAR DAR ALALOU ROUTE AZLA  TETOUAN,Azla,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,azla,69
132,ECOLE ABDALLAH IBRAHIM          ,QUATIER DIZA   MARTIL,Martil,M'Diq-Fnideq,Tanger-Tetouan-Al Hoceima,primaire,m'diq fnideq,martil,48
133,SS AZLA,CENTRE DE AZLA COMMUNE AZLA  TETOUAN,Azla,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,azla,69
134,ss ZINATE,Commune Rurale de ZinatProvince de Tétouan,Zinat,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,zinat,68
135,ss SALAH EDDINE AL AYOUBI,DOUAR MHARZA Commune ZINATE  ,Zinat,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,zinat,68
136,SS BEN KARICHE,COMMUNE DAR BEN KARICH ,Dar Bni Karrich,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,dar bni karrich,67
137,SS DAR AL KHAYATE,DOUAR DAR AL KHAYATE C DAR BEN KARRICH  TETOUAN,Dar Bni Karrich,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,dar bni karrich,67
138,ECOLE IBN ARROUMI,SOUK SEBTE CBNI SAID  TETOUAN,Bni Said,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,bni said,71
139,SS TIZEGHARENE,EL KALIE  CBNI SAID,Bni Said,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,bni said,71
140,SS HASSAN IBN TABIT,TASSIFT  CBNI SAID,Bni Said,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,bni said,71
141,SS AFRANE ALI,DOUAR AFRANE ALI CBNI SAID  TETOUAN,Bni Said,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,bni said,71
142,SS CHROUDA,DOUAR CHROUDA CBNI SAID  TETOUAN,Bni Said,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,bni said,71
143,SS AMSA,DOUAR AMSA ZAOUIAT SIDI KACEM  TETOUAN,Zaouiat Sidi Kacem,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,zaouiat sidi kacem,72
144,SS TAMRABETE,DOUAR TAMRABETE CZAOUIAT SIDI KACEM  TETOUAN,Zaouiat Sidi Kacem,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,zaouiat sidi kacem,72
145,SS LECHIAKH,DOUAR LECHIAKH CZAOUIATE SIDI KACEM  TETOUAN,Zaouiat Sidi Kacem,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,zaouiat sidi kacem,72
146,SS CHOUIBEN  IHKAM,DOUAR CHOUIBIN C OMMUNE ZAOUIAT SIDI KACEM  TETOUA,Zaouiat Sidi Kacem,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,zaouiat sidi kacem,72
147,SS AOUCHTAM,DOUAR AOUCHTAM C ZAOUIATE SIDI KACEM  ,Zaouiat Sidi Kacem,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,zaouiat sidi kacem,72
148,ss IBARAKEN,DOUAR IBARAKEN CZAOUIATE SIDI KACEM  TETOUAN,Zaouiat Sidi Kacem,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,zaouiat sidi kacem,72
149,ECOLE ATTAOUHID,ROUTE DE TATOUFT COMMUNE EL KSAR KEBIR,Ksar El Kebir,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,ksar el kebir,80
150,ECOLE YOUSSEF BNOU TACHAFINE,HAY ANDALOUSS COMMUNE KSAR EL KEBIR,Ksar El Kebir,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,ksar el kebir,80
151,ECOLE FATIMA ANDALOUSSIA,AVENUE ENNASR COMMUNE KSAR EL KEBIR,Ksar El Kebir,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,ksar el kebir,80
152,ECOLE SIDI BOUAHMED,AVENUE SIDI BOUAHMED COMMUNE KSAR EL KEBIR,Ksar El Kebir,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,ksar el kebir,80
153,ECOLE ABDELKADER ESSADRAOUI,ROUTE DE RABAT hay sidi el kamel  KSAR EL KEBIR,Ksar El Kebir,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,ksar el kebir,80
154,ECOLE SIDI ALI LAKHMI,HAY MENAKEB  KSAR EL KEBIR,Ksar El Kebir,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,ksar el kebir,80
155,ECOLE BIR  ANZARAN,HAY ESSALAM COMMUNE KSAR EL KEBIR,Ksar El Kebir,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,ksar el kebir,80
156,ECOLE ELMANZAH,HAY MOASKAR COMMUNE KSAR EL KEBIR,Ksar El Kebir,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,ksar el kebir,80
157,ECOLE IBN KHALDOUN  KSAR ELKEBIR,AVENUE BALADIA COMMUNE KSAR EL KEBIR,Ksar El Kebir,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,ksar el kebir,80
158,ECOLE AAD  ELJADID,HAY MOASKAR COMMUNE KSAR EL KEBIR,Ksar El Kebir,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,ksar el kebir,80
159,ECOLE PRINCE MOULAY RACHID,HAY EL ANDALOUSSe  COMMUNE KSAR EL KEBIR,Ksar El Kebir,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,ksar el kebir,80
160,ECOLE MOULAY ALI BOUGHALEB,HAY MOASKAR  KADIM COMMUNE KSAR EL KEBIR,Ksar El Kebir,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,ksar el kebir,80
161,ECOLE SIDI BELABBASS,HAY SIDI BELABBASS COMMUNE KSAR EL KEBIR,Ksar El Kebir,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,ksar el kebir,80
162,ECOLE ALLAL BEN ABDELLAH,HAY AL MASSIRA KHDRA COMMUNE KSAR EL KBIR,Ksar El Kebir,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,ksar el kebir,80
163,ECOLE ECHAHID MOHAMED ZERKTOUNI,HAY DAR DOUKHANE COMMUNE KSAR EL KEBIR,Ksar El Kebir,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,ksar el kebir,80
164,ECOLE CHAHID MOHAMED ELHAYANI,HAY ESSALAM GROUPE A COMMUNE KSAR EL KRBIR,Ksar El Kebir,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,ksar el kebir,80
165,ECOLE OUED EDDAHAB,HAY essalam COMMUNE KSAR EL KEBIR,Ksar El Kebir,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,ksar el kebir,80
166,ECOLE ELMASSIRA ELKHADRA  KSARELKEBIR,HAY ANDALOUS ROUTE LARACHE COMMUNE KSAR EL KEBIR,Ksar El Kebir,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,ksar el kebir,80
167,ECOLE TAREK IBN ZIAD,AVENUE hassan 2  rue luxus OMMUNE LARACHE,Larache,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,larache,81
168,ECOLE MEHDI BEN TOUMARTE,AVENUe  MEHDI IBN TOUMARTE COMMUNE LARACHE,Larache,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,larache,81
169,ECOLE MOATAMID BEN ABBAD,HAY EL JADID COMMUNE LARACHE,Larache,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,larache,81
170,ECOLE ABDELMALEK ESSAADI,HAY MHASSHASS COMMUNE LARACHE,Larache,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,larache,81
171,ECOLE IBNOU  KHALDOUN LARACHE,AVENUe  MOHAMED BEN ABDALLAH COMMUNE LARACHE,Larache,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,larache,81
172,ECOLE IBNOU  ZAIDOUN,AVENUe  MY DRISS EL AZHAR COMMUNE LARACHE,Larache,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,larache,81
173,ECOLE ECHCHARIF EL IDRISSI,AVENUE  ABDELMOUMEN IBN ALI COMMUNE LARACHE,Larache,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,larache,81
174,ECOLE LALLA MENNANA,RUE ZALAKA COMMUNE LARACHE,Larache,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,larache,81
175,ECOLE  MOHAMED V,AVENUe  IBN KHATIB COMMUNE LARACHE,Larache,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,larache,81
176,ECOLE IBNOU HAZEM,AVENUe  MY ABDESSLAM COMMUNE LARACHE,Larache,Larache,Tanger-Tetouan-Al Hoceima,primaire,larache,larache,81
