id,nom,theme,couv,zeros,taux,vmin,vmax
97,pct_sexe_feminin,demography,0,0,%,,
98,pct_sexe_masculin,demography,0,0,%,,
99,pct_veuf,demography,0,0,%,,
100,population,demography,0,0,,,
101,population_15ans_plus,demography,0,0,,,
102,Langues lues et écrites par les alphabètes de 10 ans,education,146,20,%,0.0,9.1
103,Langues lues et écrites par les alphabètes de 10 ans,education,146,0,%,2.1,27.5
104,Langues lues et écrites par les alphabètes de 10 ans,education,146,0,%,96.7,100.0
105,Langues lues et écrites par les alphabètes de 10 ans,education,146,0,%,7.8,79.9
106,Niveau d'études dans l'enseignement général (%) - Au,education,146,0,%,24.2,61.6
107,Niveau d'études dans l'enseignement général (%) - Pr,education,146,0,%,23.5,36.9
108,Niveau d'études dans l'enseignement général (%) - Pr,education,146,4,%,0.0,3.1
109,Niveau d'études dans l'enseignement général (%) - Se,education,146,0,%,8.4,20.9
110,Niveau d'études dans l'enseignement général (%) - Se,education,146,0,%,1.9,14.8
111,Niveau d'études dans l'enseignement général (%) - Su,education,146,0,%,1.1,17.0
112,Population alphabète de 10 ans et plus,education,146,0,,1072.0,898068.0
113,Taux d'analphabétisme des 10 ans et plus (%),education,146,0,%,12.9,53.2
114,Taux d'analphabétisme des 15 ans et plus (%),education,146,0,%,14.5,59.4
115,Taux de scolarisation des 6-11 ans en 2023/2024 (%),education,146,0,%,83.1,99.6
116,Nombre d'établissements collegial,education,0,0,,,
117,Nombre d'établissements primaire,education,0,0,,,
118,Nombre d'établissements qualifiant,education,0,0,,,
119,Nombre d'établissements collegial,education,146,27,,0.0,23.0
120,Nombre d'établissements primaire,education,146,1,,0.0,51.0
121,Nombre d'établissements qualifiant,education,146,65,,0.0,16.0
123,Cabinets de chirurgie dentaire par province (ou préf,health,0,0,,,
124,Officines de pharmacie par province (ou préfecture) ,health,0,0,,,
125,Laboratoires d'analyses médicales par province (ou p,health,0,0,,,
126,Autre,health,0,0,,,
127,Infirmier polyvalent,health,0,0,,,
128,Sage femme,health,0,0,,,
129,Total Paramédical,health,0,0,,,
130,Autre,health,0,0,,,
131,Infirmier polyvalent,health,0,0,,,
132,Sage femme,health,0,0,,,
133,Total général,health,0,0,,,
134,Ensemble,health,0,0,,,
135,Rural,health,0,0,,,
136,Urbain,health,0,0,,,
137,Ensemble,health,0,0,,,
138,Rural,health,0,0,,,
139,Urbain,health,0,0,,,
140,Césarienne,health,0,0,,,
141,Mort-nés,health,0,0,,,
143,Nés vivants,health,0,0,,,
144,Total,health,0,0,,,
145,Autres,health,0,0,,,
146,Condom,health,0,0,,,
147,DIU,health,0,0,,,
148,Injections,health,0,0,,,
149,Pilules,health,0,0,,,
150,Total,health,0,0,,,
151,Enfants de 12 à 23 mois - Ensemble,health,0,0,,,
152,Enfants de 12 à 23 mois - Rural,health,0,0,,,
153,Enfants de 12 à 23 mois - Urbain,health,0,0,,,
154,Enfants de moins d'un an - Ensemble,health,0,0,,,
155,Enfants de moins d'un an - Rural,health,0,0,,,
156,Enfants de moins d'un an - Urbain,health,0,0,,,
