indicateur_id,nom_indicateur,theme,table_pg,mode_stockage,colonne_valeur,filtre_indicateur,colonne_territoire,unite
49,Âge quinquennal (%) - 25-29 ans,demography,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 25-29 ans,territoire_id,
50,Âge quinquennal (%) - 30-34 ans,demography,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 30-34 ans,territoire_id,
51,Âge quinquennal (%) - 35-39 ans,demography,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 35-39 ans,territoire_id,
52,Âge quinquennal (%) - 40-44 ans,demography,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 40-44 ans,territoire_id,
53,Âge quinquennal (%) - 45-49 ans,demography,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 45-49 ans,territoire_id,
54,Âge quinquennal (%) - 5-9 ans,demography,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 5-9 ans,territoire_id,
55,Âge quinquennal (%) - 50-54 ans,demography,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 50-54 ans,territoire_id,
56,Âge quinquennal (%) - 55-59 ans,demography,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 55-59 ans,territoire_id,
57,Âge quinquennal (%) - 60-64 ans,demography,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 60-64 ans,territoire_id,
58,Âge quinquennal (%) - 65-69 ans,demography,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 65-69 ans,territoire_id,
59,Âge quinquennal (%) - 70-74 ans,demography,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 70-74 ans,territoire_id,
60,Âge quinquennal (%) - 75 ans ou plus,demography,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 75 ans ou plus,territoire_id,
61,État matrimonial des 15 ans et plus (%) - Célibataire,demography,demography_demography_population_rgph2024_population_demogra,long,valeur,État matrimonial des 15 ans et plus (%) - Célibataire,territoire_id,
62,État matrimonial des 15 ans et plus (%) - Divorcé.e,demography,demography_demography_population_rgph2024_population_demogra,long,valeur,État matrimonial des 15 ans et plus (%) - Divorcé.e,territoire_id,
63,État matrimonial des 15 ans et plus (%) - Marié.e,demography,demography_demography_population_rgph2024_population_demogra,long,valeur,État matrimonial des 15 ans et plus (%) - Marié.e,territoire_id,
64,État matrimonial des 15 ans et plus (%) - Veuf.ve,demography,demography_demography_population_rgph2024_population_demogra,long,valeur,État matrimonial des 15 ans et plus (%) - Veuf.ve,territoire_id,
65,menages_2014,demography,demography_demography_population_population_1,long,valeur,menages_2014,territoire_id,
66,menages_2024,demography,demography_demography_population_population_1,long,valeur,menages_2024,territoire_id,
67,population_legale_2014,demography,demography_demography_population_population_1,long,valeur,population_legale_2014,territoire_id,
68,population_legale_2024,demography,demography_demography_population_population_1,long,valeur,population_legale_2024,territoire_id,
69,taux_accroissement_menages_pct,demography,demography_demography_population_population_1,long,valeur,taux_accroissement_menages_pct,territoire_id,
70,taux_accroissement_pop_pct,demography,demography_demography_population_population_1,long,valeur,taux_accroissement_pop_pct,territoire_id,
71,menages,demography,demography_demography_population_population_legale_2025_urba,long,valeur,menages,territoire_id,
