code_geo,collectivite,sexe,indicateur,valeur,fk_territoire,territoire_id,indicateur_id
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Niveau d'études dans l'enseignement général (%) - Aucun niveau d'études,37.7,tanger tetouan al hoceima,1.0,106
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Niveau d'études dans l'enseignement général (%) - Préscolaire,1.2,tanger tetouan al hoceima,1.0,108
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Niveau d'études dans l'enseignement général (%) - Primaire,26.4,tanger tetouan al hoceima,1.0,107
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Niveau d'études dans l'enseignement général (%) - Secondaire collégial,15.0,tanger tetouan al hoceima,1.0,109
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Niveau d'études dans l'enseignement général (%) - Secondaire qualifiant,10.2,tanger tetouan al hoceima,1.0,110
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Niveau d'études dans l'enseignement général (%) - Supérieur,9.5,tanger tetouan al hoceima,1.0,111
1511.0,Préfecture de Tanger-Assilah,Ensemble,Taux de scolarisation des 6-11 ans en 2023/2024 (%),96.1,tanger assilah,2.0,115
1511.0,Préfecture de Tanger-Assilah,Ensemble,Taux d'analphabétisme des 10 ans et plus (%),15.2,tanger assilah,2.0,113
1511.0,Préfecture de Tanger-Assilah,Ensemble,Taux d'analphabétisme des 15 ans et plus (%),16.9,tanger assilah,2.0,114
1511.0,Préfecture de Tanger-Assilah,Ensemble,Population alphabète de 10 ans et plus,1034354.0,tanger assilah,2.0,112
1511.0,Préfecture de Tanger-Assilah,Ensemble,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Arabe,99.3,tanger assilah,2.0,104
1511.0,Préfecture de Tanger-Assilah,Ensemble,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Amazigh (Tifinagh),1.0,tanger assilah,2.0,102
1511.0,Préfecture de Tanger-Assilah,Ensemble,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Anglais,20.7,tanger assilah,2.0,103
1511.0,Préfecture de Tanger-Assilah,Ensemble,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Français,53.7,tanger assilah,2.0,105
1511.0,Préfecture de Tanger-Assilah,Ensemble,Niveau d'études dans l'enseignement général (%) - Aucun niveau d'études,27.1,tanger assilah,2.0,106
1511.0,Préfecture de Tanger-Assilah,Ensemble,Niveau d'études dans l'enseignement général (%) - Préscolaire,1.5,tanger assilah,2.0,108
