territoire_id,indicateur,valeur,source,annee,url,indicateur_id
4,etab_qualifiant_total,48,"Annuaire Statistique du Maroc 2024 (HCP), public + privé",2023-2024,https://www.hcp.ma/file/248150/,522
5,etab_collegial_prive,1,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-24",2023-2024,https://www.hcp.ma/file/248150/,518
5,etab_collegial_public,4,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-17",2023-2024,https://www.hcp.ma/file/248150/,517
5,etab_collegial_total,5,"Annuaire Statistique du Maroc 2024 (HCP), public + privé",2023-2024,https://www.hcp.ma/file/248150/,519
5,etab_primaire_prive,6,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-15",2023-2024,https://www.hcp.ma/file/248150/,514
5,etab_primaire_public,41,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-5",2023-2024,https://www.hcp.ma/file/248150/,513
5,etab_primaire_satellites,89,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-5",2023-2024,https://www.hcp.ma/file/248150/,516
5,etab_primaire_total,47,"Annuaire Statistique du Maroc 2024 (HCP), public + privé",2023-2024,https://www.hcp.ma/file/248150/,515
5,etab_qualifiant_prive,0,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-32",2023-2024,https://www.hcp.ma/file/248150/,521
5,etab_qualifiant_public,7,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-26",2023-2024,https://www.hcp.ma/file/248150/,520
5,etab_qualifiant_total,7,"Annuaire Statistique du Maroc 2024 (HCP), public + privé",2023-2024,https://www.hcp.ma/file/248150/,522
6,etab_collegial_prive,15,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-24",2023-2024,https://www.hcp.ma/file/248150/,518
6,etab_collegial_public,28,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-17",2023-2024,https://www.hcp.ma/file/248150/,517
6,etab_collegial_total,43,"Annuaire Statistique du Maroc 2024 (HCP), public + privé",2023-2024,https://www.hcp.ma/file/248150/,519
6,etab_primaire_prive,34,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-15",2023-2024,https://www.hcp.ma/file/248150/,514
6,etab_primaire_public,148,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-5",2023-2024,https://www.hcp.ma/file/248150/,513
6,etab_primaire_satellites,230,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-5",2023-2024,https://www.hcp.ma/file/248150/,516
6,etab_primaire_total,182,"Annuaire Statistique du Maroc 2024 (HCP), public + privé",2023-2024,https://www.hcp.ma/file/248150/,515
6,etab_qualifiant_prive,8,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-32",2023-2024,https://www.hcp.ma/file/248150/,521
6,etab_qualifiant_public,22,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-26",2023-2024,https://www.hcp.ma/file/248150/,520
6,etab_qualifiant_total,30,"Annuaire Statistique du Maroc 2024 (HCP), public + privé",2023-2024,https://www.hcp.ma/file/248150/,522
7,etab_collegial_prive,4,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-24",2023-2024,https://www.hcp.ma/file/248150/,518
7,etab_collegial_public,38,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-17",2023-2024,https://www.hcp.ma/file/248150/,517
7,etab_collegial_total,42,"Annuaire Statistique du Maroc 2024 (HCP), public + privé",2023-2024,https://www.hcp.ma/file/248150/,519
7,etab_primaire_prive,11,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-15",2023-2024,https://www.hcp.ma/file/248150/,514
7,etab_primaire_public,151,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-5",2023-2024,https://www.hcp.ma/file/248150/,513
7,etab_primaire_satellites,327,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-5",2023-2024,https://www.hcp.ma/file/248150/,516
7,etab_primaire_total,162,"Annuaire Statistique du Maroc 2024 (HCP), public + privé",2023-2024,https://www.hcp.ma/file/248150/,515
7,etab_qualifiant_prive,1,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-32",2023-2024,https://www.hcp.ma/file/248150/,521
7,etab_qualifiant_public,27,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-26",2023-2024,https://www.hcp.ma/file/248150/,520
7,etab_qualifiant_total,28,"Annuaire Statistique du Maroc 2024 (HCP), public + privé",2023-2024,https://www.hcp.ma/file/248150/,522
8,etab_collegial_prive,4,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-24",2023-2024,https://www.hcp.ma/file/248150/,518
8,etab_collegial_public,29,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-17",2023-2024,https://www.hcp.ma/file/248150/,517
8,etab_collegial_total,33,"Annuaire Statistique du Maroc 2024 (HCP), public + privé",2023-2024,https://www.hcp.ma/file/248150/,519
8,etab_primaire_prive,9,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-15",2023-2024,https://www.hcp.ma/file/248150/,514
8,etab_primaire_public,157,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-5",2023-2024,https://www.hcp.ma/file/248150/,513
8,etab_primaire_satellites,431,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-5",2023-2024,https://www.hcp.ma/file/248150/,516
8,etab_primaire_total,166,"Annuaire Statistique du Maroc 2024 (HCP), public + privé",2023-2024,https://www.hcp.ma/file/248150/,515
