code_geo,collectivite,sexe,indicateur,valeur,fk_territoire,territoire_id,indicateur_id
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Langues locales utilisées (non exclusives) (%) - Darija,96.0,tanger tetouan al hoceima,1.0,376
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Langues locales utilisées (non exclusives) (%) - Tachelhit,1.4,tanger tetouan al hoceima,1.0,378
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Langues locales utilisées (non exclusives) (%) - Tamazight,0.9,tanger tetouan al hoceima,1.0,379
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Langues locales utilisées (non exclusives) (%) - Tarifit,8.2,tanger tetouan al hoceima,1.0,380
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Langues locales utilisées (non exclusives) (%) - Hassania,0.1,tanger tetouan al hoceima,1.0,377
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Population active de 15 ans et plus,301756.0,tanger tetouan al hoceima,1.0,381
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Population inactive de 15 ans et plus,1145666.0,tanger tetouan al hoceima,1.0,383
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Taux d'activité des 15 ans et plus (%),20.8,tanger tetouan al hoceima,1.0,392
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Taux de chômage (%),23.0,tanger tetouan al hoceima,1.0,393
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Population active occupée de 15 ans et plus,232294.0,tanger tetouan al hoceima,1.0,382
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Employeur,1.3,tanger tetouan al hoceima,1.0,388
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Indépendant,11.3,tanger tetouan al hoceima,1.0,389
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Salarié du secteur public,15.4,tanger tetouan al hoceima,1.0,391
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Salarié du secteur privé,62.3,tanger tetouan al hoceima,1.0,390
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Aide familial,7.0,tanger tetouan al hoceima,1.0,384
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Apprenti,0.3,tanger tetouan al hoceima,1.0,385
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Coopérateur/Associé,0.9,tanger tetouan al hoceima,1.0,387
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Statut professionnel des actifs occupés de 15 ans et plus (%) - Autre,1.6,tanger tetouan al hoceima,1.0,386
1511.0,Préfecture de Tanger-Assilah,Ensemble,Taux de prévalence du handicap (%),3.7,tanger assilah,2.0,394
1511.0,Préfecture de Tanger-Assilah,Ensemble,Langues locales utilisées (non exclusives) (%) - Darija,98.5,tanger assilah,2.0,376
1511.0,Préfecture de Tanger-Assilah,Ensemble,Langues locales utilisées (non exclusives) (%) - Tachelhit,2.5,tanger assilah,2.0,378
1511.0,Préfecture de Tanger-Assilah,Ensemble,Langues locales utilisées (non exclusives) (%) - Tamazight,1.4,tanger assilah,2.0,379
1511.0,Préfecture de Tanger-Assilah,Ensemble,Langues locales utilisées (non exclusives) (%) - Tarifit,4.4,tanger assilah,2.0,380
1511.0,Préfecture de Tanger-Assilah,Ensemble,Langues locales utilisées (non exclusives) (%) - Hassania,0.1,tanger assilah,2.0,377
1511.0,Préfecture de Tanger-Assilah,Ensemble,Population active de 15 ans et plus,564663.0,tanger assilah,2.0,381
1511.0,Préfecture de Tanger-Assilah,Ensemble,Population inactive de 15 ans et plus,523953.0,tanger assilah,2.0,383
1511.0,Préfecture de Tanger-Assilah,Ensemble,Taux d'activité des 15 ans et plus (%),51.9,tanger assilah,2.0,392
1511.0,Préfecture de Tanger-Assilah,Ensemble,Taux de chômage (%),15.3,tanger assilah,2.0,393
1511.0,Préfecture de Tanger-Assilah,Ensemble,Population active occupée de 15 ans et plus,478322.0,tanger assilah,2.0,382
1511.0,Préfecture de Tanger-Assilah,Ensemble,Statut professionnel des actifs occupés de 15 ans et plus (%) - Employeur,2.6,tanger assilah,2.0,388
1511.0,Préfecture de Tanger-Assilah,Ensemble,Statut professionnel des actifs occupés de 15 ans et plus (%) - Indépendant,17.3,tanger assilah,2.0,389
