region,fk_territoire,indicateur,valeur,theme,territoire_id,indicateur_id
Tanger - Tétouan- Al Hoceima,tanger tetouan al hoceima,plages_evolution_total 2024,76,plages_evolution_total,1,301
Tanger - Tétouan- Al Hoceima,tanger tetouan al hoceima,plages_evolution_total 2023,74,plages_evolution_total,1,300
Tanger - Tétouan- Al Hoceima,tanger tetouan al hoceima,plages_evolution_total 2022,72,plages_evolution_total,1,299
Tanger - Tétouan- Al Hoceima,tanger tetouan al hoceima,plages_evolution_total 2021,67,plages_evolution_total,1,298
