province_prefecture,indicateur,valeur,fk_territoire,theme,fichier_source,territoire_id
Tanger - Tétouan - Al Hoceima,Pilules,34899,tanger tetouan al hoceima,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,1
Al Hoceima,Pilules,3886,al hoceima,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,7
Chefchaouen,Pilules,4552,chefchaouen,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,8
Fahs-Anjra,Pilules,722,fahs anjra,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,5
Larache,Pilules,6698,larache,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,6
Ouezzane,Pilules,5131,ouezzane,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,9
Tanger Assilah,Pilules,8482,tanger assilah,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,2
Tetouan,Pilules,3426,tetouan,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,4
Mdiq-Fnideq,Pilules,2002,m'diq fnideq,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,3
Tanger - Tétouan - Al Hoceima,Autres,683,tanger tetouan al hoceima,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,1
Al Hoceima,Autres,82,al hoceima,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,7
Chefchaouen,Autres,22,chefchaouen,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,8
Fahs-Anjra,Autres,0,fahs anjra,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,5
Larache,Autres,363,larache,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,6
Ouezzane,Autres,64,ouezzane,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,9
Tanger Assilah,Autres,100,tanger assilah,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,2
Tetouan,Autres,48,tetouan,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,4
Mdiq-Fnideq,Autres,4,m'diq fnideq,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,3
Tanger - Tétouan - Al Hoceima,Total,49777,tanger tetouan al hoceima,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,1
Al Hoceima,Total,5290,al hoceima,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,7
Chefchaouen,Total,5896,chefchaouen,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,8
Fahs-Anjra,Total,1226,fahs anjra,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,5
Larache,Total,9161,larache,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,6
Ouezzane,Total,7481,ouezzane,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,9
Tanger Assilah,Total,11754,tanger assilah,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,2
Tetouan,Total,5874,tetouan,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,4
Mdiq-Fnideq,Total,3095,m'diq fnideq,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,3
